D,eta,coeff_l1,coeff_l2,coeff_p1,coeff_p2,coeff_participation_exact,loop_trace_neff,loop_trace_entropy_norm,coeff_participation_access,coeff_participation_access_recon,coeff_participation_residual,gap_cv,c_tree_diag_cv,tree_diag_susceptibility,tree_diag_susceptibility_recon,tree_diag_compressibility,tree_diag_compressibility_recon,tree_diag_residual,tree_diag_pressure_fraction,shell_background_load,eymh_source_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
6.4,0.5800000000000001,0.5249813542953385,0.3726556016746358,0.5848481959257691,0.41515180407423086,1.9845975465187993,1.9440183647993008,0.9791265887375875,0.8425232366357835,0.8425232366357834,-1.1102230246251565e-16,0.2368422574530327,1.0740896380316576,0.8684127919784018,0.868412791978402,0.7315829644608279,0.7315829644608278,-1.1102230246251565e-16,0.4647863661107071,0.1914894611870313,0.0493701311782508,59.87824241195589,59.87746185614748,0.0007805558084115205
7.2,0.5800000000000001,0.5085809002029982,0.3470601178765843,0.5943858340784868,0.4056141659215133,2.147388744636419,1.9311827978928056,0.9741400827760386,0.8260804264205999,0.8260804264205998,-1.1102230246251565e-16,0.5397550802947837,0.591936517109107,0.3844355019083825,0.3844355019083825,0.8498917943607538,0.8498917943607538,0.0,0.2776839378782582,0.3505460622941724,0.0543924294753566,3.5314925386509124,3.531395095616055,9.744303485748063e-05
8.0,0.5800000000000001,0.5340456094429403,0.3605063293895042,0.5969978782226647,0.4030021217773353,2.194476375712881,1.9274612422166422,0.9726796567007087,0.8216129437133111,0.8216129437133111,0.0,0.5891268740470006,0.5580450513598044,0.3511645674575002,0.35116456745750024,0.8602919835728869,0.8602919835728869,0.0,0.25989770300022746,0.3707236241916178,0.0579949944055722,2.324652148280022,2.324543264773654,0.00010888350636806265
8.8,0.5800000000000001,0.4659139786380728,0.3128373898256255,0.598283351408058,0.40171664859194206,2.2180645146008917,1.9255978479094895,0.9719459165173493,0.8194198051653919,0.8194198051653919,0.0,0.1526414316992487,0.7386124264867792,0.6407998239295466,0.6407998239295466,0.7806784651728916,0.7806784651728916,0.0,0.3905411340152981,0.13242750737687906,0.0457081664657773,1.58370003727443,1.583690532878821,9.504395609205574e-06
9.6,0.5800000000000001,0.4654103913734991,0.3110229143943203,0.5994209520845477,0.4005790479154522,2.2391716055695854,1.9239314023313678,0.9712883081611083,0.8174819183912112,0.8174819183912112,0.0,0.1066533286499557,0.8851615233941379,0.7998543902397842,0.7998543902397842,0.7453861418589435,0.7453861418589435,0.0,0.44439949952463886,0.0963746512921673,0.0411393810761781,0.9999999954198696,0.999999995419966,9.636735853746359e-14
10.4,0.5800000000000001,0.4844721640985175,0.3229405166056728,0.6000304127945847,0.3999695872054153,2.2505703193941202,1.9230319279473602,0.9709328013302636,0.8164448486968443,0.8164448486968442,-1.1102230246251565e-16,0.1910896609391989,0.9172112454606636,0.7700606222519164,0.7700606222519163,0.7516331564479105,0.7516331564479105,0.0,0.43504759812815086,0.16043264181180175,0.0443592616451587,0.4950631234831995,0.4950549773069242,8.14617627525882e-06
11.2,0.5800000000000001,0.5036498001505556,0.3353439105478855,0.6003022355570221,0.39969776444297794,2.255674775405662,1.9226292576536264,0.9707735234124809,0.815982564850183,0.815982564850183,0.0,0.263616892757297,0.9184677042342904,0.7268561456393101,0.7268561456393101,0.7609776816437596,0.7609776816437596,0.0,0.42091296804008893,0.2086208994737853,0.0459252717726018,0.1519945382581024,0.1519898733053547,4.664952747701623e-06
12.0,0.5800000000000001,0.5221459156266853,0.3475023919986574,0.6004104314909258,0.3995895685090743,2.257710088606252,1.9224687223524703,0.9707100010577296,0.8157986017016879,0.8157986017016879,0.0,0.324701506182844,0.8771177803699077,0.6621248456924772,0.6621248456924772,0.7756542550671517,0.7756542550671517,0.0,0.398360476596222,0.24511295915898698,0.0457444390761541,0.0381623166820766,0.0381608574166433,1.4592654332956645e-06
12.8,0.5800000000000001,0.4340747133918953,0.284087116454483,0.6044246510354748,0.39557534896452506,2.334672119876314,1.9164099705430528,0.9683034237296261,0.8089906937597834,0.8089906937597835,1.1102230246251565e-16,0.1142870052001219,0.7916640565541827,0.7104669199763329,0.7104669199763329,0.7646147300000984,0.7646147300000984,0.0,0.4153643146668767,0.10256514225398902,0.0392926695816402,0.0023614188389863,0.0023614590141993,4.0175213000120946e-08
13.6,0.5800000000000001,0.4287141058671819,0.2799049152984935,0.6049994327868153,0.3950005672131847,2.345927014679919,1.9155262069412695,0.9679508845755657,0.8080186332269033,0.8080186332269033,0.0,0.1152775579450587,0.6820654711364537,0.611565673744198,0.611565673744198,0.7877274793646933,0.7877274793646933,0.0,0.3794854182537467,0.10336221429709568,0.0396207147568535,0.0001779207979586,0.0001779243592711,3.561312499999851e-09
