m,s,a,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
-0.15,1.25,-0.25,0.0002565019355754716,0.0008314553174985712,0.005782630548831769,0.003617806201626772,0.0007167030676363817,0.038227225709275815,0.055810879807038305,0.9619673117722816
-0.1,1.0,0.125,0.00025723738912352914,0.0008428579041720805,0.0058633207159966005,0.004133813123721186,0.0005300883185944683,0.02672529827184529,0.04661131572296742,0.9927799158014298
0.05,0.75,0.25,0.00025880545855830117,0.0008876038861153774,0.005881658461475592,0.003656505943539612,0.0008991594869969255,0.02771481553886865,0.06636930625954192,0.9424287573018169
0.05,1.25,0.25,0.00025661441107526086,0.0008391312106648247,0.0059020451844613575,0.004409206187409254,0.0005827060558335484,0.02639923488338379,0.049716277938653006,0.9761565989271702
0.05,0.75,0.0,0.00025903734451554266,0.0009017925863274866,0.0059995585476584345,0.004488320548795777,0.0007763691742351808,0.04622018800292387,0.05852507165635844,0.9889246802532535
0.1,1.125,-0.125,0.0002569045771630388,0.0008712074676463281,0.00607687727640549,0.004284427249046541,0.0005509770150572413,0.01841735786784789,0.048309325277137105,0.9891101924916048
-0.1,1.25,0.0,0.00025660293632014434,0.0008299618614602808,0.006112357051655248,0.004309190312518751,0.0006191582809605967,0.04067678641302594,0.04994282533481051,0.991662569234734
0.0,1.125,0.25,0.0002569484008048083,0.0008421114853641617,0.0061198951134748825,0.004363384632127154,0.000574905436476203,0.024847759768764965,0.04919961414903387,0.9762155793554147
-0.15,0.875,0.125,0.00025758457147680527,0.0008460605918202322,0.006173841049349704,0.0043525244669924135,0.0005581201638836797,0.02509167474940528,0.049079842006514315,0.9864653589028213
-0.15,1.25,-0.125,0.0002565814630826027,0.0008282980429515347,0.0063814321017861,0.004033351427221277,0.0007166769354022273,0.043236764983308675,0.056590359376563065,0.9818477857151691
-0.15,1.125,0.0,0.0002568806069359846,0.0008324105028701935,0.006417547375508814,0.0045242423332387816,0.0006229927073744257,0.03943854522436259,0.05299363641857012,0.997751570036601
-0.05,1.0,0.25,0.00025729603697731613,0.0008452760451565953,0.006424618978587038,0.004529598240114563,0.0005807606330805459,0.02320407843569347,0.05107376599874741,0.971247029857506
