combo_id,placement,peak,center_D,width_D,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_runtime,slice_p95_abs_delta_guard,slice_improved_fraction_vs_base,slice_improved_fraction_vs_runtime
95,mu_linear_blend,0.99,7.95,0.2,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
95,mu_linear_blend,0.99,7.95,0.2,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
95,mu_linear_blend,0.99,7.95,0.2,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
95,mu_linear_blend,0.99,7.95,0.2,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.8093177750419684,1.0,0.0
95,mu_linear_blend,0.99,7.95,0.2,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211883754574,1.0,0.0
95,mu_linear_blend,0.99,7.95,0.2,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
95,mu_linear_blend,0.99,7.95,0.2,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226218715,1.0,0.0
95,mu_linear_blend,0.99,7.95,0.2,D21_guard,8.0,0.3226590996076344,1.7769700652865041,0.3814992092991507,0.0,1.0
96,mu_linear_blend,0.99,7.95,0.4,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
96,mu_linear_blend,0.99,7.95,0.4,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987789567,1.0,0.0
96,mu_linear_blend,0.99,7.95,0.4,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58783943998141,1.0,0.0
96,mu_linear_blend,0.99,7.95,0.4,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.830540346164703,1.0,0.0
96,mu_linear_blend,0.99,7.95,0.4,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8681076479975793,1.0,0.0
96,mu_linear_blend,0.99,7.95,0.4,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
96,mu_linear_blend,0.99,7.95,0.4,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33390540044647565,1.0,0.0
96,mu_linear_blend,0.99,7.95,0.4,D21_guard,8.0,0.3226590996076344,1.7769700652865041,0.3484065716109037,0.0,1.0
97,mu_linear_blend,0.99,8.0,0.01,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
97,mu_linear_blend,0.99,8.0,0.01,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
97,mu_linear_blend,0.99,8.0,0.01,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
97,mu_linear_blend,0.99,8.0,0.01,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
97,mu_linear_blend,0.99,8.0,0.01,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
