label,D,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
width_only,6.4,1.625,52.00576496545303,57.79862505495353,16005.89654836671,19880.030675557697,5.7928600895005005,0.0
width_only,6.4,1.72,52.00574312843918,57.79869950357436,16005.882734884806,19880.08316059049,5.792956375135184,0.0
width_only,6.4,1.815,52.00572129153109,57.79877395186392,16005.868921475767,19880.135645459024,5.793052660332833,0.0
width_only,6.4,1.91,52.00569945471686,57.798848399813814,16005.855108132064,19880.18813015738,5.793148945096952,0.0
width_only,6.4,2.005,52.005677618007255,57.7989228476108,16005.8412948605,19880.240614817223,5.793245229603542,0.0
width_only,6.4,2.1,52.00565578139636,57.7989972950639,16005.82748165734,19880.293099303904,5.793341513667542,0.0
width_only,6.4,2.1950000000000003,52.00563394488644,57.799071742225394,16005.813668524015,19880.345583654296,5.793437797338953,0.0
width_only,6.4,2.29,52.00561210847557,57.799146189144594,16005.799855459305,19880.39806790315,5.793534080669026,0.0
width_only,6.4,2.385,52.00559027216586,57.79922063580626,16005.786042464548,19880.45055203971,5.793630363640396,0.0
width_only,6.4,2.4800000000000004,52.005568435955496,57.79929508220258,16005.772229538596,19880.5030360585,5.793726646247087,0.0
width_only,6.4,2.575,52.00554659984651,57.79936952829194,16005.758416682727,19880.555519930156,5.7938229284454295,0.0
width_only,6.4,2.6700000000000004,52.00552476384077,57.799443974113686,16005.74460389813,19880.608003682428,5.793919210272918,0.0
width_only,6.4,2.765,52.005502927927054,57.799518419643945,16005.730791177708,19880.660487298483,5.794015491716891,0.0
width_only,6.4,2.8600000000000003,52.005481092119474,57.79959286490279,16005.716978530387,19880.712970792458,5.794111772783317,0.0
width_only,6.4,2.955,52.00545925641354,57.79966730991623,16005.703165953315,19880.76545418271,5.794208053502693,0.0
width_only,6.4,3.0500000000000003,52.00543742080221,57.79974175463098,16005.689353442052,19880.817937431653,5.794304333828769,0.0
width_only,6.4,3.145,52.005415585295445,57.799816199094906,16005.675541002896,19880.87042057305,5.794400613799461,0.0
width_only,6.4,3.24,52.00539374988906,57.79989064329194,16005.661728633193,19880.92290359556,5.794496893402879,0.0
width_only,6.4,3.3350000000000004,52.00537191458477,57.79996508715362,16005.647916334032,19880.97538645092,5.794593172568852,0.0
width_only,6.4,3.43,52.00535007937852,57.80003953077853,16005.63410410285,19881.027869208625,5.794689451400004,0.0
width_only,6.4,3.5250000000000004,52.00532824426676,57.80011397415054,16005.620291937394,19881.08035185732,5.794785729883785,0.0
width_only,6.4,3.62,52.00530640926095,57.80018841724919,16005.606479844922,19881.132834382555,5.794882007988235,0.0
width_only,6.4,3.715,52.00528457435489,57.8002628600326,16005.592667821504,19881.185316754832,5.794978285677715,0.0
width_only,6.4,3.81,52.00526273954797,57.80033730255307,16005.578855866763,19881.237799010993,5.795074563005095,0.0
width_only,6.4,3.905,52.00524090484269,57.80041174482133,16005.565043982271,19881.29028115862,5.7951708399786455,0.0
width_only,6.4,4.0,52.0052190702391,57.800486186791545,16005.551232168069,19881.3427631654,5.795267116552445,0.0
width_only,7.2,0.2,4.948604058485567,3.4844537025541538,78.7036922743765,27.155920238073257,1.4641503559314133,0.0
width_only,7.2,0.295,4.948603661496556,3.484453856673913,78.70367466491726,27.155924253767186,1.4641498048226427,0.0
