alpha,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.85,6.4,2.0,65.72487890803768,59.878600621788785,5.8462782862488964,0.0931583386421195,0.0
0.875,6.4,2.0,69.89975979326158,59.878600621788785,10.021159171472796,0.15474302323108852,0.0
0.9,6.4,2.0,74.33983143570538,59.878600621788785,14.461230813916593,0.21632770782005747,0.0
0.65,6.4,4.0,40.15838574393467,59.88020440872969,-19.721818664795016,-0.3995146942285899,0.0
0.675,6.4,4.0,42.70925519854214,59.88020440872969,-17.17094921018755,-0.3379303270568379,0.0
0.7,6.4,4.0,45.422156439385695,59.88020440872969,-14.458047969343994,-0.27634595988508687,0.0
0.725,6.4,4.0,48.30738176100188,59.88020440872969,-11.572822647727811,-0.2147615927133349,0.0
0.75,6.4,4.0,51.3758772267294,59.88020440872969,-8.504327182000289,-0.15317722554158347,0.0
0.775,6.4,4.0,54.63928419624688,59.88020440872969,-5.240920212482813,-0.0915928583698314,0.0
0.8,6.4,4.0,58.10998349094829,59.88020440872969,-1.7702209177814012,-0.03000849119807995,0.0
0.825,6.4,4.0,61.80114236471331,59.88020440872969,1.920937955983618,0.031575875973671626,0.0
0.85,6.4,4.0,65.7267644582708,59.88020440872969,5.846560049541104,0.0931602431454234,0.0
0.875,6.4,4.0,69.9017429266746,59.88020440872969,10.021538517944911,0.154744610317175,0.0
0.9,6.4,4.0,74.34191694144828,59.88020440872969,14.461712532718586,0.21632897748892663,0.0
0.65,7.2,0.2,2.6235727175143437,3.531394482587155,-0.9078217650728111,-0.29715580898907246,0.0
0.675,7.2,0.2,2.6446678374469244,3.531394482587155,-0.8867266451402305,-0.2891473543797523,0.0
0.7,7.2,0.2,2.6659325749708147,3.531394482587155,-0.8654619076163401,-0.2811388997704321,0.0
0.725,7.2,0.2,2.6873682939145858,3.531394482587155,-0.8440261886725691,-0.273130445161112,0.0
0.75,7.2,0.2,2.70897636907282,3.531394482587155,-0.8224181135143347,-0.26512199055179175,0.0
0.775,7.2,0.2,2.7307581862942842,3.531394482587155,-0.8006362962928706,-0.25711353594247166,0.0
0.8,7.2,0.2,2.7527151425708123,3.531394482587155,-0.7786793400163425,-0.2491050813331515,0.0
0.825,7.2,0.2,2.7748486461269013,3.531394482587155,-0.7565458364602535,-0.24109662672383142,0.0
0.85,7.2,0.2,2.7971601165100304,3.531394482587155,-0.7342343660771244,-0.2330881721145112,0.0
0.875,7.2,0.2,2.8196509846817026,3.531394482587155,-0.7117434979054522,-0.225079717505191,0.0
0.9,7.2,0.2,2.8423226931092223,3.531394482587155,-0.6890717894779326,-0.21707126289587078,0.0
0.65,7.2,0.6,2.6235733075348455,3.5313951278523286,-0.907821820317483,-0.2971557668195708,0.0
0.675,7.2,0.6,2.644668424245525,3.5313951278523286,-0.8867267036068034,-0.2891473152223578,0.0
0.7,7.2,0.6,2.665933158457556,3.5313951278523286,-0.8654619693947727,-0.2811388636251452,0.0
0.725,7.2,0.6,2.6873688739982717,3.5313951278523286,-0.8440262538540568,-0.27313041202793215,0.0
0.75,7.2,0.6,2.7089769456610022,3.5313951278523286,-0.8224181821913263,-0.26512196043071945,0.0
0.775,7.2,0.6,2.730758759293248,3.5313951278523286,-0.8006363685590805,-0.2571135088335064,0.0
0.8,7.2,0.6,2.7527157118855614,3.5313951278523286,-0.7786794159667672,-0.24910505723629353,0.0
0.825,7.2,0.6,2.7748492116611434,3.5313951278523286,-0.7565459161911852,-0.24109660563908072,0.0
0.85,7.2,0.6,2.7971606781661635,3.5313951278523286,-0.734234449686165,-0.2330881540418678,0.0
0.875,7.2,0.6,2.8196515423608,3.5313951278523286,-0.7117435854915284,-0.22507970244465478,0.0
0.9,7.2,0.6,2.8423232467110155,3.5313951278523286,-0.689071881141313,-0.21707125084744197,0.0
0.65,7.2,1.0,2.623573897468928,3.5313957730086396,-0.9078218755397116,-0.2971557246521989,0.0
0.675,7.2,1.0,2.64466901095741,3.5313957730086396,-0.8867267620512296,-0.2891472760669411,0.0
0.7,7.2,1.0,2.6659337418572866,3.5313957730086396,-0.865462031151353,-0.2811388274816834,0.0
0.725,7.2,1.0,2.687369453994653,3.5313957730086396,-0.8440263190139867,-0.27313037889642566,0.0
0.75,7.2,1.0,2.708977522161587,3.5313957730086396,-0.8224182508470528,-0.26512193031116793,0.0
0.775,7.2,1.0,2.730759332204322,3.5313957730086396,-0.8006364408043174,-0.25711348172590975,0.0
0.8,7.2,1.0,2.7527162811121286,3.5313957730086396,-0.778679491896511,-0.2491050331406522,0.0
0.825,7.2,1.0,2.774849777106914,3.5313957730086396,-0.7565459959017256,-0.24109658455539437,0.0
0.85,7.2,1.0,2.7971612397335366,3.5313957730086396,-0.734234533275103,-0.23308813597013653,0.0
0.875,7.2,1.0,2.819652099950848,3.5313957730086396,-0.7117436730577915,-0.22507968738487877,0.0
0.9,7.2,1.0,2.8423238002234736,3.5313957730086396,-0.689071972785166,-0.21707123879962106,0.0
0.65,7.2,2.0,2.6235753723395114,3.5313973859490524,-0.907822013609541,-0.29715561923441514,0.0
0.675,7.2,2.0,2.64467047777289,3.5313973859490524,-0.8867269081761622,-0.28914717817899926,0.0
0.7,7.2,2.0,2.6659352003927768,3.5313973859490524,-0.8654621855562756,-0.281138737123583,0.0
0.725,7.2,2.0,2.6873709040221687,3.5313973859490524,-0.8440264819268837,-0.27313029606816697,0.0
0.75,7.2,2.0,2.7089789634500137,3.5313973859490524,-0.8224184224990387,-0.265121855012751,0.0
0.775,7.2,2.0,2.730760764519379,3.5313973859490524,-0.8006366214296734,-0.25711341395733467,0.0
0.8,7.2,2.0,2.7527177042163324,3.5313973859490524,-0.77867968173272,-0.24910497290191874,0.0
0.825,7.2,2.0,2.774851190759542,3.5313973859490524,-0.7565461951895105,-0.24109653184650268,0.0
0.85,7.2,2.0,2.79716264369059,3.5313973859490524,-0.7342347422584625,-0.23308809079108664,0.0
0.875,7.2,2.0,2.8196534939650175,3.5313973859490524,-0.7117438919840349,-0.2250796497356704,0.0
0.9,7.2,2.0,2.8423251840440975,3.5313973859490524,-0.6890722019049549,-0.21707120868025426,0.0
0.65,7.2,4.0,2.623578322033982,3.5314006117660255,-0.9078222897320436,-0.2971554083988873,0.0
0.675,7.2,4.0,2.644673411356721,3.5314006117660255,-0.8867272004093043,-0.2891469824031516,0.0
0.7,7.2,4.0,2.665938117416188,3.5314006117660255,-0.8654624943498375,-0.28113855640741625,0.0
0.725,7.2,4.0,2.687373804029191,3.5314006117660255,-0.8440268077368347,-0.2731301304116808,0.0
