combo_id,beta,omega,m,phase,center_D,width_D,eta_couple,improved_fraction_vs_lorentz_D21_guard,improved_fraction_vs_lorentz_D60_hotspot,improved_fraction_vs_mainline_D21_guard,improved_fraction_vs_mainline_D60_hotspot,mean_abs_improvement_vs_lorentz_D21_guard,mean_abs_improvement_vs_lorentz_D60_hotspot,mean_abs_improvement_vs_mainline_D21_guard,mean_abs_improvement_vs_mainline_D60_hotspot,p95_abs_delta_cf_D21_guard,p95_abs_delta_cf_D60_hotspot,p95_abs_delta_lorentz_D21_guard,p95_abs_delta_lorentz_D60_hotspot,p95_abs_delta_mainline_D21_guard,p95_abs_delta_mainline_D60_hotspot,joint_objective_vs_mainline,d60_mainline_gain,d21_mainline_gain,beats_mainline_both,beats_lorentz_both
425,0.4,0.7,6.0,0.5853981633974483,6.1,0.05,0.15,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.24488337806859034,0.8497466524863263,0.38025528974085226,-0.18620539923393922,1.1262021891040894,33.547179862140375,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547179862140375,-2.2612497409331844,0.9760148659460435,0.0,0.0
4544,0.4,0.9,10.0,0.7853981633974483,6.0,0.07,0.15,0.3333333333333333,1.0,0.6666666666666666,0.09523809523809523,-0.2288848485454548,0.2851883819531064,0.396253819263988,-0.750763669767159,1.226791323996136,33.54721041664249,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54721041664249,-2.261280295435302,0.8754257310539968,0.0,0.0
2954,0.4,0.8,10.0,0.9853981633974482,6.0,0.03,0.15,0.3333333333333333,0.8,0.6666666666666666,0.0380952380952381,-0.2882731144126809,0.08993963735123824,0.3368655533967617,-0.9460124143690273,1.2299988919999634,33.547245508111644,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547245508111644,-2.261315386904453,0.8722181630501695,0.0,0.0
7899,0.4,1.1,10.0,0.7853981633974483,6.0,0.03,0.3,0.3333333333333333,0.6,0.6666666666666666,0.0,-0.36140490586392765,-0.5760783790273066,0.26373376194551507,-1.6120304307475721,1.5284031926103618,33.54725073401117,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54725073401117,-2.2613206128039813,0.5738138624397711,0.0,0.0
4880,0.4,0.9,12.0,0.7853981633974483,6.0,0.07,0.15,0.21138211382113822,0.8952380952380953,0.6666666666666666,0.0,-0.26958715750252377,0.16527752262320677,0.35555151030691884,-0.8706745290970588,1.2465254241501917,33.547255687061636,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547255687061636,-2.2613255658544453,0.8556916308999412,0.0,0.0
2637,0.4,0.8,8.0,0.9853981633974482,6.1,0.07,0.3,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.12818857142467982,1.3983086090850267,0.4969500963847628,0.3623565573647615,0.9485375140761511,33.54725859153397,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54725859153397,-2.2613284703267773,1.153679540973982,0.0,0.0
9301,0.4,1.2,8.0,0.8853981633974483,6.1,0.03,0.0,0.3333333333333333,0.8,0.6666666666666666,0.2,-0.35456042942555716,1.416326658331791,0.27057823838388545,0.3803746066115255,1.3669248196418744,33.54730185867867,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54730185867867,-2.2613717374714817,0.7352922354082585,0.0,0.0
666,0.4,0.7,6.0,1.1353981633974484,6.1,0.05,0.3,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.32289978742463504,1.3965420092299392,0.30223888038480756,0.3605899575096737,1.3160601428868874,33.54732853817144,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54732853817144,-2.2613984169642514,0.7861569121632455,0.0,0.0
8538,0.4,1.2,4.0,0.6853981633974483,6.1,0.05,0.3,0.3333333333333333,0.9904761904761905,0.8211382113821138,0.2,-0.01244513684669335,1.219956824859727,0.6126935309627493,0.18400477313946137,0.7970357455965303,33.5473813769573,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.5473813769573,-2.2614512557501065,1.3051813094536024,0.0,0.0
371,0.4,0.7,6.0,0.4353981633974483,6.0,0.1,0.15,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.28271313634305245,1.66948096759927,0.3424255314663903,0.6335289158790043,1.2553616908926961,33.54740149172249,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54740149172249,-2.2614713705152987,0.8468553641574368,0.0,0.0
