r,sigma_eff,sigma_plummer_fit
1.8211382113821137,0.00408148596499227,0.002952123609438799
1.8261413383364602,0.004048793234290435,0.00291530870824394
1.8311444652908067,0.004016446823454439,0.0028790349829430355
1.8361475922451531,0.003984442183464113,0.0028432933222759687
1.8411507191994998,0.003952774836434913,0.002808074786935326
1.8461538461538463,0.003921440374330314,0.0027733706059898445
1.8511569731081927,0.003890434457700619,0.0027391721733886886
1.8561601000625392,0.003859752814447582,0.0027054710445446137
1.8611632270168856,0.003829391238614291,0.002672258932994097
1.866166353971232,0.003799345589199686,0.0026395277071325773
1.8711694809255786,0.003769611788997194,0.0026072693870229863
1.876172607879925,0.003740185823456893,0.002575476141275804
1.8811757348342715,0.0037110637395707077,0.0025441402839989184
1.886178861788618,0.003682241644780107,0.0025132542718156203
1.8911819887429644,0.0036537157059057745,0.002482810700949069
1.8961851156973109,0.0036254821480987895,0.0024528023043716763
1.9011882426516573,0.0035975372538128193,0.002423221949017817
1.9061913696060038,0.0035698773617968507,0.002394062633058387
1.9111944965603502,0.0035424988661080146,0.0023653174832356954
1.9161976235146967,0.0035153982151440374,0.002336979752257301
1.9212007504690432,0.003488571910694909,0.0023090428162473382
1.9262038774233896,0.0034620165070133138,0.0022815001722540224
1.931207004377736,0.0034357286099034306,0.002254345435811946
1.9362101313320825,0.003409704875827684,0.002227572338557928
1.941213258286429,0.0033839420110310667,0.002201174725899095
1.9462163852407754,0.0033584367706826143,0.002175146554731999
1.951219512195122,0.0033331859580337086,0.0021494818912115607
1.9562226391494684,0.003308186423592789,0.0021241749085686595
1.9612257661038148,0.0032834350643161517,0.002099219884975226
1.9662288930581613,0.003258928822814465,0.0020746112014557445
1.9712320200125077,0.0032346646865746656,0.0020503433398440397
1.9762351469668542,0.0032106396871969165,0.002026410880784343
1.9812382739212007,0.0031868508996462774,0.002002808501775549
1.9862414008755471,0.0031632954415187764,0.0019795309752576955
1.9912445278298936,0.0031399704723216026,0.001956573166739668
1.99624765478424,0.003116873192767066,0.0019339300329671743
2.0012507817385865,0.003094000844080074,0.0019115966201300565
2.006253908692933,0.0030713507073188108,0.0018895680621080263
2.0112570356472794,0.0030489201027083476,0.0018678395787539426
2.016260162601626,0.0030267063889869088,0.0018464064742137562
2.0212632895559723,0.00300470696276452,0.0018252641352822815
2.026266416510319,0.0029829192578937854,0.001804408029793973
2.0312695434646653,0.0029613407448525236,0.0017838337050478977
2.0362726704190117,0.002939968930138031,0.0017635367862661212
2.041275797373358,0.0029188013556727117,0.0017435129750847471
2.0462789243277046,0.0028978355982208397,0.0017237580480768525
2.051282051282051,0.0028770692688162296,0.001704267855306602
2.0562851782363976,0.0028565000122005766,0.0016850383189138283
2.061288305190744,0.002836125506272245,0.0016660654317283833
2.0662914321450905,0.002815943461545297,0.0016473452559135763
2.071294559099437,0.002795951620618536,0.0016288739216380609
2.0762976860537834,0.0027761477576543677,0.0016106476257755074
2.08130081300813,0.002756529677867274,0.0015926626306314333
2.0863039399624768,0.0027370952170216903,0.0015749152626965933
2.091307066916823,0.002717842240939123,0.0015574019114263243
2.0963101938711697,0.002698768645014266,0.0015401190280452403
2.101313320825516,0.0026798723537399924,0.0015230631243767507
2.1063164477798626,0.002661151320240991,0.0015062307716968025
2.111319574734209,0.002642603525815906,0.0014896185996113357
2.1163227016885555,0.0026242269794877725,0.0014732232949568992
2.121325828642902,0.0026060197175626193,0.0014570416007239296
2.1263289555972484,0.002587979803196035,0.001441070315002169
2.131332082551595,0.0025701053259675685,0.0014253062899477476
2.1363352095059414,0.002552394401462782,0.0014097464307714386
2.141338336460288,0.0025348451708628135,0.0013943876947476142
2.1463414634146343,0.002517455800541301,0.0013792270902434594
2.1513445903689807,0.002500224481668514,0.0013642616757679762
2.156347717323327,0.0024831494298225474,0.0013494885590403555
2.1613508442776737,0.0024662288846074433,0.0013349048960772853
2.16635397123202,0.0024494611092781,0.0013205078902987794
2.1713570981863666,0.0024328443903718308,0.0013062947916521197
2.176360225140713,0.0024163770373464423,0.0012922628957535128
2.1813633520950595,0.0024000573822247086,0.0012784095430470783
2.186366479049406,0.0023838837792450993,0.0012647321179807872
2.1913696060037524,0.002367854604518661,0.0012512280481989761
2.196372732958099,0.0023519682556919132,0.0012378948037510874
2.2013758599124453,0.0023362231516156455,0.0012247298963162716
2.206378986866792,0.002320617732019503,0.0012117308784435116
2.2113821138211383,0.0023051504571922478,0.0011988953428069345
2.2163852407754847,0.0022898198076675797,0.0011862209214759795
2.221388367729831,0.0022746242839154127,0.0011737052852001002
2.2263914946841776,0.0022595624060385046,0.0011613461427076935
2.231394621638524,0.002244632713474322,0.0011491412400189385
2.2363977485928705,0.002229833764702062,0.0011370883597722576
2.241400875547217,0.0022151641369547066,0.0011251853205640993
2.2464040025015635,0.0022006224259360314,0.0011134299763017601
2.25140712945591,0.0021862072455424656,0.0011018202155689673
2.2564102564102564,0.002171917227589711,0.0010903539610039499
2.261413383364603,0.0021577510215440247,0.001079029168689726
2.2664165103189493,0.002143707294258088,0.0010678438275563565
2.2714196372732958,0.0021297847297113647,0.0010567959587949023
2.2764227642276422,0.0021159820287548607,0.0010458836152828384
2.2814258911819887,0.002102297908860212,0.0010351048810206846
2.286429018136335,0.002088731103873012,0.0010244578705796167
2.2914321450906816,0.0020752803637702974,0.0010139407285598143
2.296435272045028,0.0020619444544221197,0.0010035516290593414
2.3014383989993745,0.0020487221573571163,0.0009932887751533098
2.306441525953721,0.002035612269532017,0.0009831503983831359
2.3114446529080674,0.0020226136031050042,0.0009731347582556605
2.316447779862414,0.0020097249852128575,0.0009632401417519334
2.3214509068167604,0.001996945257751811,0.0009534648628454555
2.326454033771107,0.001984273277162054,0.0009438072620296897
2.3314571607254533,0.0019717079142158108,0.0009342657058546347
2.3364602876797997,0.001959248053808928,0.0009248385864722852
2.341463414634146,0.0019468925947559092,0.000915524321190785
2.3464665415884927,0.0019346404495883239,0.0009063213520370949
2.351469668542839,0.0019224905443565447,0.0008972281453280038
2.3564727954971856,0.0019104418184347361,0.0008882431912493028
2.361475922451532,0.001898493224329043,0.0008793650034429582
2.3664790494058785,0.0018866437274889143,0.0008705921186021172
2.371482176360225,0.0018748923061215161,0.000861923096073787
2.3764853033145714,0.0018632379510091623,0.0008533565174690243
2.381488430268918,0.0018516796653297188,0.0008448909862804882
2.3864915572232643,0.0018402164644799217,0.0008365251275071983
2.391494684177611,0.0018288473759015633,0.0008282575872863573
2.3964978111319573,0.0018175714389104822,0.0008200870325320883
2.401500938086304,0.0018063877045283172,0.0008120121505809482
2.4065040650406506,0.0017952952353169748,0.0008040316488440829
2.411507191994997,0.0017842931052157508,0.0007961442544658769
2.4165103189493435,0.0017733803993810705,0.0007883487139889835
2.42151344590369,0.0017625562140287942,0.0007806437930255899
2.4265165728580365,0.0017518196562790452,0.0007730282759348012
2.431519699812383,0.0017411698440035067,0.0007655009655060147
2.4365228267667294,0.0017306059056751628,0.0007580606826481668
2.441525953721076,0.0017201269802204111,0.0007507062660847301
2.4465290806754223,0.0017097322168735348,0.00074343657205435
2.4515322076297688,0.0016994207750334696,0.0007362504740170039
2.456535334584115,0.0016891918241228412,0.0007291468623655737
2.4615384615384617,0.0016790445434492164,0.0007221246441427242
2.466541588492808,0.0016689781220685486,0.0007151827427629782
2.4715447154471546,0.0016589917586507588,0.0007083200977398876
2.476547842401501,0.0016490846613474329,0.0007015356644181994
2.4815509693558475,0.0016392560476615808,0.0006948284137109135
2.486554096310194,0.0016295051443194384,0.0006881973318411391
2.4915572232645404,0.0016198311871442619,0.0006816414200886526
2.496560350218887,0.0016102334209320895,0.000675159694541064
2.5015634771732334,0.0016007110993294309,0.0006687511858495021
2.50656660412758,0.0015912634847128526,0.0006624149389887258
