i,j,k,obs_triangle_defect_abs,recon_triangle_defect_abs,mixed_triangle_defect_abs,channel
7,13,16,1.1102230246251565e-16,2.7755575615628914e-16,3.885780586188048e-16,phi
7,15,16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,phi
9,10,12,0.0,1.1102230246251565e-16,5.551115123125783e-17,phi
9,10,13,1.6653345369377348e-16,1.6653345369377348e-16,3.3306690738754696e-16,phi
9,10,15,1.6653345369377348e-16,1.1102230246251565e-16,2.7755575615628914e-16,phi
9,10,16,3.3306690738754696e-16,0.0,3.3306690738754696e-16,phi
9,12,13,2.7755575615628914e-16,5.551115123125783e-17,3.3306690738754696e-16,phi
9,12,15,5.551115123125783e-17,0.0,5.551115123125783e-17,phi
9,12,16,3.3306690738754696e-16,0.0,3.3306690738754696e-16,phi
9,13,15,1.6653345369377348e-16,5.551115123125783e-17,8.326672684688674e-17,phi
9,13,16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,phi
9,15,16,3.3306690738754696e-16,2.220446049250313e-16,5.551115123125783e-17,phi
10,12,13,1.1102230246251565e-16,0.0,5.551115123125783e-17,phi
10,12,15,2.220446049250313e-16,0.0,2.7755575615628914e-16,phi
10,12,16,0.0,0.0,5.551115123125783e-17,phi
10,13,15,1.1102230246251565e-16,1.1102230246251565e-16,2.7755575615628914e-17,phi
10,13,16,0.0,4.440892098500626e-16,2.220446049250313e-16,phi
10,15,16,0.0,0.0,0.0,phi
12,13,15,2.220446049250313e-16,1.1102230246251565e-16,3.0531133177191805e-16,phi
12,13,16,0.0,2.220446049250313e-16,2.220446049250313e-16,phi
12,15,16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,phi
13,15,16,0.0,2.220446049250313e-16,2.498001805406602e-16,phi
0,1,2,0.0,8.881784197001252e-16,7.771561172376096e-16,mix
0,1,3,5.551115123125783e-17,0.0,8.326672684688674e-17,mix
0,1,4,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,1,5,0.0,0.0,1.1102230246251565e-16,mix
0,1,6,0.0,1.6653345369377348e-16,1.6653345369377348e-16,mix
0,1,7,8.881784197001252e-16,8.881784197001252e-16,3.3306690738754696e-16,mix
0,1,8,0.0,1.1102230246251565e-16,1.1102230246251565e-16,mix
0,1,9,4.440892098500626e-16,0.0,3.3306690738754696e-16,mix
0,1,10,0.0,0.0,0.0,mix
0,1,11,0.0,4.440892098500626e-16,3.3306690738754696e-16,mix
0,1,12,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,mix
0,1,13,0.0,0.0,1.1102230246251565e-16,mix
0,1,14,0.0,4.440892098500626e-16,3.3306690738754696e-16,mix
0,1,15,0.0,0.0,1.1102230246251565e-16,mix
0,1,16,4.440892098500626e-16,0.0,3.3306690738754696e-16,mix
0,2,3,5.551115123125783e-17,2.7755575615628914e-16,3.3306690738754696e-16,mix
0,2,4,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,mix
0,2,5,2.220446049250313e-16,0.0,2.220446049250313e-16,mix
0,2,6,1.1102230246251565e-16,4.996003610813204e-16,3.885780586188048e-16,mix
0,2,7,0.0,0.0,0.0,mix
0,2,8,1.1102230246251565e-16,1.1102230246251565e-16,0.0,mix
0,2,9,4.440892098500626e-16,0.0,2.220446049250313e-16,mix
0,2,10,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,mix
0,2,11,0.0,0.0,0.0,mix
0,2,12,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,2,13,0.0,2.220446049250313e-16,2.220446049250313e-16,mix
0,2,14,0.0,0.0,1.3877787807814457e-17,mix
0,2,15,0.0,6.661338147750939e-16,6.661338147750939e-16,mix
0,2,16,0.0,0.0,1.1102230246251565e-16,mix
0,3,4,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,mix
0,3,5,0.0,2.220446049250313e-16,1.1102230246251565e-16,mix
0,3,6,5.551115123125783e-17,2.220446049250313e-16,2.7755575615628914e-16,mix
0,3,7,0.0,0.0,1.1102230246251565e-16,mix
0,3,8,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,mix
0,3,9,4.440892098500626e-16,0.0,5.551115123125783e-16,mix
0,3,10,1.1102230246251565e-16,0.0,2.220446049250313e-16,mix
0,3,11,0.0,2.220446049250313e-16,1.1102230246251565e-16,mix
0,3,12,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,mix
0,3,13,0.0,2.220446049250313e-16,1.1102230246251565e-16,mix
0,3,14,0.0,4.440892098500626e-16,3.3306690738754696e-16,mix
0,3,15,0.0,0.0,1.1102230246251565e-16,mix
0,3,16,0.0,4.440892098500626e-16,3.3306690738754696e-16,mix
0,4,5,0.0,0.0,1.1102230246251565e-16,mix
0,4,6,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,mix
0,4,7,8.881784197001252e-16,0.0,3.3306690738754696e-16,mix
0,4,8,0.0,0.0,0.0,mix
0,4,9,4.440892098500626e-16,0.0,3.3306690738754696e-16,mix
0,4,10,1.1102230246251565e-16,0.0,0.0,mix
0,4,11,0.0,0.0,1.1102230246251565e-16,mix
0,4,12,1.1102230246251565e-16,0.0,1.734723475976807e-16,mix
0,4,13,0.0,2.220446049250313e-16,1.1102230246251565e-16,mix
0,4,14,0.0,4.440892098500626e-16,1.1102230246251565e-16,mix
0,4,15,0.0,2.220446049250313e-16,1.1102230246251565e-16,mix
0,4,16,0.0,0.0,1.1102230246251565e-16,mix
0,5,6,1.1102230246251565e-16,5.551115123125783e-17,1.6653345369377348e-16,mix
0,5,7,8.881784197001252e-16,0.0,4.440892098500626e-16,mix
0,5,8,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,mix
0,5,9,4.440892098500626e-16,4.440892098500626e-16,0.0,mix
0,5,10,1.1102230246251565e-16,0.0,1.1102230246251565e-16,mix
0,5,11,0.0,0.0,8.326672684688674e-17,mix
0,5,12,0.0,0.0,0.0,mix
0,5,13,0.0,0.0,0.0,mix
