D,eta,coeff_l1,coeff_l2,parent_kernel_k_part,parent_kernel_g_schur,parent_kernel_s_part,parent_kernel_s_schur,parent_kernel_response_action,parent_kernel_response_weight,parent_kernel_cross_xi,parent_kernel_coeff_share,parent_kernel_tree_share,eymh_parented_prefactor_diag
5.6,0.39,0.5468221053448145,0.3979748578049887,1.3740116859662583,2.062356756618928,0.3177346988340467,0.7238493854785658,1.0415840843126125,0.5940498490647067,0.14021721472029533,0.30504949491786243,0.6949505050821375,0.044896760436053
6.4,0.39,0.5249812867988601,0.3726557072448083,1.4087568675125235,1.868413466345598,0.3427076612579426,0.6250896570409504,0.967797318298893,0.6163756627812441,0.1348598203258129,0.35411098458127915,0.6458890154187209,0.0493701324354692
7.2,0.39,0.508580892319907,0.3470601234960784,1.4653970822022533,1.3844355324879933,0.38212625161457975,0.3252924987946593,0.7074187504092391,0.7020789792681886,0.08818995442108464,0.540169809456593,0.45983019054340707,0.0543924297365417
8.0,0.39,0.5340456087317134,0.3605063298004697,1.4813765101636158,1.3511645686794096,0.3929717299596685,0.30096686405353396,0.6939385940132025,0.706827029630224,0.08445432253962086,0.566291792025898,0.43370820797410203,0.0579949944510229
8.8,0.39,0.4659139786252545,0.3128373898658881,1.4893167943415895,1.6407998244075555,0.3983174875140615,0.49518382075966744,0.8935013082737289,0.639703395785572,0.12831275157026362,0.4457939611567248,0.5542060388432752,0.0457081664626894
9.6,0.39,0.465410391829237,0.311022915080539,1.4963861801266944,1.7998543928953747,0.4030529880353437,0.5877057687942142,0.9907587568295579,0.6093396931134121,0.14741767423132074,0.406812440724843,0.593187559275157,0.0411393810710699
10.4,0.39,0.4844721632973193,0.3229405158487987,1.500190095454452,1.7700606219476458,0.40559183038152596,0.571013795687166,0.976605626068692,0.6136670185326932,0.14505261716213022,0.4153076938684333,0.5846923061315668,0.0443592616336688
11.2,0.39,0.5036497917996202,0.335343899962222,1.501890423104039,1.7268560834220628,0.4067245966886865,0.5463024624101751,0.9530270590988617,0.6209445269948283,0.14065751661931958,0.4267712997291666,0.5732287002708333,0.0459252722558148
12.0,0.39,0.5221458734019447,0.3475023272755173,1.5025679899633055,1.6621244762845668,0.4071756376269177,0.5080965891068089,0.9152722267337265,0.6327776936627667,0.1332406640766865,0.4448683416080256,0.5551316583919744,0.0457444417491334
12.8,0.39,0.4340743669944907,0.2840864732223568,1.5279656298691038,1.7104634185829286,0.42393719695018284,0.536764338818598,0.9607015357687808,0.6185663805274197,0.1435225019957199,0.4412787751098328,0.5587212248901672,0.0392926809931249
13.6,0.39,0.4287111875175987,0.2799014713307117,1.5316503535312396,1.6115334287634346,0.42634581650474207,0.4771861659387097,0.9035319824434518,0.6365030996116648,0.13171867550818192,0.4718657720911669,0.528134227908833,0.0396210022414701
14.4,0.39,0.44461773816574,0.2908235437512176,1.528823053425428,1.5818492502540766,0.424498193255552,0.45859457419445243,0.8830927674500044,0.643041263289488,0.12723264116124391,0.4806949042073143,0.5193050957926857,0.0396846783076986
15.2,0.39,0.4600914356264559,0.3014442407480813,1.5262903497000526,1.648028357300619,0.42284018324323375,0.4995796384391296,0.9224198216823634,0.6305203104571621,0.13558685239523746,0.4584031839992695,0.5415968160007305,0.0417242863639605
16.0,0.39,0.4760466013004638,0.3127055207762198,1.522347926953087,1.5954494782179598,0.42025383183854315,0.4671555010627374,0.8874093329012805,0.6416548950645166,0.12805832531143294,0.4735738246797254,0.5264261753202746,0.0435038855570558
16.8,0.39,0.4911538066157465,0.3230784583082524,1.5202307488638929,1.5615203171497523,0.41886213179953374,0.44565990895942537,0.8645220407589591,0.6490399419212085,0.12305643834295363,0.48450139158027367,0.5154986084197264,0.0431099782091254
17.6,0.39,0.4410367983505292,0.2876304861315658,1.53334510636259,1.5353027450111023,0.42745169286002216,0.42872758961253354,0.8561792824725557,0.6517529882364431,0.12127571595302504,0.4992548892628967,0.5007451107371033,0.0407600933091185
18.4,0.39,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0586804347402074
19.200000000000003,0.39,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0580670617382019
20.0,0.39,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0622911350603241
4.0,0.5800000000000001,0.5356450572479634,0.3828319392326664,1.399165018262556,1.8369138974474974,0.33587564316797797,0.6080869338484299,0.943962577016408,0.6237651843856868,0.1299796954955477,0.35581457501163183,0.6441854249883682,0.0433252408187335
4.8,0.5800000000000001,0.5496746608125175,0.3964528123674694,1.3864819309265684,1.7723830027087453,0.32676955384061085,0.5723249703111746,0.8990945241517854,0.6379168954251939,0.1214758961842552,0.36344293626845126,0.6365570637315487,0.0392193376908345
5.6,0.5800000000000001,0.5468235269197911,0.3979744128181384,1.3740167943150456,2.0623496921769924,0.31773841666217256,0.7238459600508302,1.0415843767130029,0.5940497622145091,0.1402181564168067,0.30505297867934694,0.694947021320653,0.0448967538721383
6.4,0.5800000000000001,0.5249813542953385,0.3726556016746358,1.408757447724341,1.8684127919784017,0.34270807311871954,0.6250892961104979,0.9677973692292174,0.6163756470851381,0.1348599001590933,0.3541113915112855,0.6458886084887145,0.0493701311782508
7.2,0.5800000000000001,0.5085809002029982,0.3470601178765843,1.4653971286434333,1.3844355019083825,0.3821262833064535,0.32529247670651545,0.7074187600129689,0.7020789758969003,0.08818995535945838,0.5401698469227026,0.45983015307729747,0.0543924294753566
8.0,0.5800000000000001,0.5340456094429403,0.3605063293895042,1.4813765138251926,1.3511645674575001,0.392971732431408,0.30096686314919596,0.6939385955806039,0.706827029076283,0.08445432275577985,0.5662917943087122,0.4337082056912878,0.0579949944055722
8.8,0.5800000000000001,0.4659139786380728,0.3128373898256255,1.489316794574241,1.6407998239295467,0.39831748767027503,0.49518382046834075,0.8935013081386158,0.639703395828788,0.12831275155289246,0.4457939613989697,0.5542060386010302,0.0457081664657773
9.6,0.5800000000000001,0.4654103913734991,0.3110229143943203,1.4963861819629267,1.7998543902397843,0.4030529892624549,0.5877057673187668,0.9907587565812217,0.6093396931890727,0.1474176743238172,0.40681244206536865,0.5931875579346314,0.0411393810761781
10.4,0.5800000000000001,0.4844721640985175,0.3229405166056728,1.5001900944194106,1.7700606222519164,0.4055918296915858,0.5710137958590645,0.9766056255506503,0.6136670186916457,0.1450526169944307,0.41530769338226625,0.5846923066177337,0.0443592616451587
11.2,0.5800000000000001,0.5036498001505556,0.3353439105478855,1.5018904005970815,1.7268561456393101,0.4067245817029342,0.546302498439377,0.9530270801423111,0.6209445204614209,0.14065751939166984,0.4267712745814105,0.5732287254185895,0.0459252717726018
