mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
refamp2_mode,6.169491525423728,1.53,91.76314357451022,75.89019182979206,15.872951744718165,0.18992327974546755,0.0
full_direct,6.169491525423728,1.72,75.89071270405644,75.89071270405644,0.0,0.0,0.0
base_mode,6.169491525423728,1.72,101.7448302576007,75.89071270405644,25.854117553544256,0.2931737001034959,0.0
refamp2_mode,6.169491525423728,1.72,91.7663561720459,75.89071270405644,15.875643467989462,0.18995142530248363,0.0
full_direct,6.169491525423728,1.91,75.89123357370548,75.89123357370548,0.0,0.0,0.0
base_mode,6.169491525423728,1.91,101.748392451383,75.89123357370548,25.85715887767752,0.293201847150985,0.0
refamp2_mode,6.169491525423728,1.91,91.76956900892961,75.89123357370548,15.87833543522413,0.18997957234997243,0.0
full_direct,6.169491525423728,2.1,75.89175443865331,75.89175443865331,0.0,0.0,0.0
base_mode,6.169491525423728,2.1,101.7519534869039,75.89175443865331,25.860199048250593,0.29322998169865244,0.0
refamp2_mode,6.169491525423728,2.1,91.77278080114675,75.89175443865331,15.881026362493444,0.1900077068976402,0.0
full_direct,6.169491525423728,2.29,75.8922752990492,75.8922752990492,0.0,0.0,0.0
base_mode,6.169491525423728,2.29,101.75551350636333,75.8922752990492,25.863238207314126,0.2932581051432765,0.0
refamp2_mode,6.169491525423728,2.29,91.7759916769511,75.8922752990492,15.88371637790189,0.19003583034226398,0.0
full_direct,6.169491525423728,2.4800000000000004,75.89279615477501,75.89279615477501,0.0,0.0,0.0
base_mode,6.169491525423728,2.4800000000000004,101.75907379087592,75.89279615477501,25.866277636100904,0.2932862300772307,0.0
refamp2_mode,6.169491525423728,2.4800000000000004,91.77920279181393,75.89279615477501,15.886406637038917,0.19006395527621828,0.0
full_direct,6.169491525423728,2.6700000000000004,75.89331700591609,75.89331700591609,0.0,0.0,0.0
base_mode,6.169491525423728,2.6700000000000004,101.76263434051131,75.89331700591609,25.869317334595223,0.29331435649988497,0.0
refamp2_mode,6.169491525423728,2.6700000000000004,91.78241414579803,75.89331700591609,15.88909713988194,0.19009208169887246,0.0
full_direct,6.169491525423728,2.8600000000000003,75.89383785243241,75.89383785243241,0.0,0.0,0.0
base_mode,6.169491525423728,2.8600000000000003,101.76619515528594,75.89383785243241,25.87235730285353,0.29334248441173844,0.0
refamp2_mode,6.169491525423728,2.8600000000000003,91.78562573891823,75.89383785243241,15.891787886485815,0.19012020961072587,0.0
full_direct,6.169491525423728,3.0500000000000003,75.89435869431642,75.89435869431642,0.0,0.0,0.0
base_mode,6.169491525423728,3.0500000000000003,101.76975623522803,75.89435869431642,25.875397540911607,0.2933706138129783,0.0
refamp2_mode,6.169491525423728,3.0500000000000003,91.78883757119999,75.89435869431642,15.894478876883568,0.19014833901196604,0.0
