combo_id,mode,kappa,center_D,width_D,power,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_max_abs_delta_base,slice_max_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction,slice_p95_abs_cf_shift_vs_base
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D21_guard,4.0,0.9136772062233662,0.9134741156311956,0.9244091557317824,0.9242033430700105,0.0001802071534982561,1.0,0.0,0.0002030905921706072
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D21_guard,6.4,2.1022273869561374,3.495553973198085,2.102232425909044,3.495574272109735,-1.393189327030325,0.0,1.0,5.597690638419792
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D21_guard,8.0,0.3226590996076344,0.019131172683963804,0.32265909973791107,0.019131172731543078,0.3035279238094871,1.0,0.0,0.30352792723763544
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.950898572975495,8.958857939127418,8.958871959692539,-1.389887262179389e-05,0.0,1.0,1.4008341867821628e-05
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.310376200679087,10.272608773798765,10.311071048212646,-0.03844250149513667,0.0,1.0,0.038460296428745266
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D60_hotspot,6.169491525423728,25.887561191706766,30.25497331191059,25.89060277919198,30.25816775736807,-4.3660368109868894,0.0,1.0,4.367412120203824
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,40.008074674874216,31.28639526077564,40.008187632911124,-8.721557326922984,0.0,1.0,8.721768867436396
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D60_hotspot,6.711864406779661,7.462467784829663,11.418395921557469,7.462495924022775,11.418430664819113,-3.9558686999413277,0.0,1.0,3.955928136727806
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D21_guard,4.0,0.9136772062233662,0.9136772046197308,0.9244091557317824,0.924409154106653,1.4229441635822512e-09,1.0,0.0,1.6036354466564262e-09
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D21_guard,6.4,2.1022273869561374,3.867331150005583,2.102232425909044,3.8673524617442467,-1.7649573884224206,0.0,1.0,5.96946781522729
52,gamma_ref_suppress,0.05,6.25,0.12,0.5,D21_guard,8.0,0.3226590996076344,0.018553207174672792,0.32265909973791107,0.018553207222987922,0.3041058893254478,1.0,0.0,0.3041058927601239
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.952565450989733,8.958857939127418,8.960540292173993,-0.0016677509426227203,0.0,1.0,0.0016808863561053045
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.567867908818023,10.272608773798765,10.568575998963269,-0.29581507254267064,0.0,1.0,0.2959520045676811
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D60_hotspot,6.169491525423728,25.887561191706766,31.080895762393837,25.89060277919198,31.084119114862517,-5.191699176383738,0.0,1.0,5.193334570687071
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,38.8137945695404,31.28639526077564,38.81390430905649,-7.527306188032828,0.0,1.0,7.527488762102578
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D60_hotspot,6.711864406779661,7.462467784829663,11.120783708037116,7.462495924022775,11.120817954461764,-3.6582609579667085,0.0,1.0,3.6583159232074536
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D21_guard,4.0,0.9136772062233662,0.9136743068179038,0.9244091557317824,0.9244062174649263,2.572712008113858e-06,1.0,0.0,2.8994054623865395e-06
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D21_guard,6.4,2.1022273869561374,3.0810231207904053,2.102232425909044,3.0810422904018395,-0.978668638293656,0.0,1.0,5.183159786012112
53,gamma_ref_suppress,0.05,6.25,0.2,0.5,D21_guard,8.0,0.3226590996076344,0.018604723897256203,0.32265909973791107,0.018604723945505608,0.30405437260226986,1.0,0.0,0.3040543760363641
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.969172958731699,8.958857939127418,8.977162291123713,-0.018145478060043036,0.0,1.0,0.018288394098071592
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D60_hotspot,5.627118644067797,10.271915904250342,11.05070245170964,10.272608773798765,11.051435373685024,-0.7784262159955821,0.0,1.0,0.7787865474592977
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D60_hotspot,6.169491525423728,25.887561191706766,31.51499238132321,25.89060277919198,31.518230927029236,-5.625659097180526,0.0,1.0,5.627431189616445
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,38.07442493191632,31.28639526077564,38.074532678870916,-6.787954483311488,0.0,1.0,6.788119124478499
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D60_hotspot,6.711864406779661,7.462467784829663,10.755133861635791,7.462495924022775,10.755167497640691,-3.292616605358772,0.0,1.0,3.292666076806128
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D21_guard,4.0,0.9136772062233662,0.9135539835874291,0.9244091557317824,0.9242842815147068,0.00010933840032383454,1.0,0.0,0.0001232226359371147
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D21_guard,6.4,2.1022273869561374,2.630925705001104,2.102232425909044,2.630943648418871,-0.5285822582138374,0.0,1.0,4.733062370222811
54,gamma_ref_suppress,0.05,6.25,0.3,0.5,D21_guard,8.0,0.3226590996076344,0.01950503716244878,0.32265909973791107,0.01950503720955199,0.3031540593266877,1.0,0.0,0.3031540627506133
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.950888578107898,8.958857939127418,8.958861956103723,-3.9821106720220696e-06,0.0,1.0,4.013474271147288e-06
55,gamma_ref_suppress,0.05,6.4,0.12,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.282976083819626,10.272608773798765,10.283669522185058,-0.011055062209842552,0.0,1.0,0.0110601795692844
