family,peak2,center2_D,sigma2_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta2
pointamp2,0.25,5.9,0.12,6.4406779661016955,0.39,53.1761539878905,58.12143315039051,58.12115569891465,4.9450017110241475,0.08891966065628532,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,0.5800000000000001,53.17627564694484,58.121589364558325,58.12131191233675,4.945036265391913,0.08892006052597805,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,0.77,53.176397305291836,58.1217455764471,58.12146812347982,4.945070818187986,0.0889204603677714,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,0.96,53.17651896289371,58.121901788668005,58.121624334955044,4.9451053720613345,0.08892086022730243,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,1.15,53.17664061967282,58.122057996842834,58.121780542384165,4.945139922711348,0.0889212600307022,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,1.34,53.17676227557025,58.12221420443112,58.121936749226755,4.9451744736565075,0.08892165983860144,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,1.53,53.1768839308222,58.122370412752076,58.122092956802035,4.945209025979835,0.088922059669256,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,1.72,53.17700558523319,58.12252662179833,58.12224916510262,4.945243579869434,0.08892245952621454,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,1.91,53.17712723881674,58.122682831552225,58.12240537411072,4.945278135293982,0.0889228594089165,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,2.1,53.17724889163355,58.1228390351841,58.122561576997036,4.945312685363483,0.08892325919872208,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,2.29,53.17737054371819,58.122995233471165,58.12271777453847,4.945347230820282,0.08892365890834866,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,2.4800000000000004,53.1774921949914,58.123151432434526,58.1228739727562,4.945381777764801,0.08892405864288098,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,2.6700000000000004,53.17761384546962,58.12330763212621,58.123030171702126,4.945416326232504,0.08892445840290307,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,2.8600000000000003,53.177735495178766,58.12346383255956,58.123186371389934,4.945450876211169,0.08892485818816256,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,3.0500000000000003,53.177857144103946,58.12362003370544,58.123342571790175,4.945485427686229,0.08892525799843272,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,3.24,53.17797879225753,58.123776235591045,58.12349877293002,4.945519980672493,0.08892565783394836,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,3.43,53.178100439580184,58.12393243818266,58.12365497477607,4.945554535195889,0.08892605769525025,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,3.62,53.1782220861386,58.124088641509616,58.123811177357375,4.945589091218778,0.08892645758158384,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,3.81,53.17834373193131,58.12424484555507,58.12396738065715,4.945623648725842,0.08892685749268786,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.4406779661016955,4.0,53.178465376946676,58.12440105035036,58.124123584706794,4.945658207760118,0.08892725742932103,9.764726037473623e-06
pointamp2,0.25,5.9,0.12,6.711864406779661,0.2,24.022491636014024,21.419281039655687,21.41928103964123,-2.6032105963727936,-0.11469904344930629,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,0.39,24.022510691807305,21.41931630433541,21.419316304320958,-2.6031943874863472,-0.11469819029948748,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,0.5800000000000001,24.02252974733178,21.419351569161954,21.419351569147498,-2.603178178184283,-0.11469733713370614,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,0.77,24.022548802487066,21.419386833152384,21.41938683313792,-2.603161969349145,-0.11469648399367327,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,0.96,24.022567857789728,21.419422097201007,21.41942209718655,-2.6031457606031765,-0.11469563085913916,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,1.15,24.022586912972304,21.419457360064094,21.419457360049627,-2.6031295529226774,-0.11469477777703686,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,1.34,24.02260596800885,21.419492622670344,21.419492622655877,-2.6031133453529733,-0.11469392470292712,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,1.53,24.022625023057742,21.41952788542647,21.419527885412002,-2.60309713764574,-0.11469307162441525,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,1.72,24.0226440780572,21.419563148331342,21.41956314831689,-2.6030809297403117,-0.11469221853898155,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,1.91,24.022663132903386,21.41959841134778,21.419598411333318,-2.6030647215700675,-0.11469136544404102,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,2.1,24.02268218768798,21.419633672593505,21.41963367257905,-2.603048515108931,-0.11469051243128484,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,2.29,24.02270124244546,21.419668932300887,21.419668932286427,-2.6030323101590334,-0.11468965949130053,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,2.4800000000000004,24.022720297033377,21.419704192103506,21.41970419208904,-2.603016104944338,-0.1146888065418922,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,2.6700000000000004,24.0227393516132,21.41973945205817,21.419739452043718,-2.6029998995694825,-0.11468795358712827,2.874555591913526e-11
pointamp2,0.25,5.9,0.12,6.711864406779661,2.8600000000000003,24.022758406111414,21.419774712151366,21.419774712136906,-2.602983693974508,-0.11468710062458133,2.874555591913526e-11
