label,beta,center,half_width,objective,global_max_abs_delta_mu_mumu,d4p0_p95_abs_delta_mu_mumu,d4p0_max_abs_delta_mu_mumu,d4p0_acceptance_mismatch,d4p8_p95_abs_delta_mu_mumu,d4p8_max_abs_delta_mu_mumu,d6p4_p95_abs_delta_mu_mumu,d6p4_max_abs_delta_mu_mumu,d7p2_p95_abs_delta_mu_mumu,d7p2_max_abs_delta_mu_mumu,d8p0_p95_abs_delta_mu_mumu,d8p0_max_abs_delta_mu_mumu
bandpass_gnorm,0.05,0.09,0.04,63.91134036990348,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.794074413399464,5.794266911060291,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
width_only,0.0,0.0,1.0,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.08,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.09,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.09,0.02,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.1,0.08,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.1,0.09,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.1,0.09,0.02,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.08,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.09,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.09,0.02,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.2,0.08,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.2,0.09,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.2,0.09,0.02,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.25,0.08,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.25,0.09,0.01,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.25,0.09,0.02,63.91254061649406,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.795074563005095,5.795267116552445,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.1,0.09,0.03,63.914223005644715,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.796476620523009,5.79666910751132,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
