D,eta,mu_mumu_uv_rge,chi2_uv_rge,mu_mumu_release_bridge,mu_mumu_direct_y2,delta_mu_mumu_direct_minus_release,abs_delta_mu_mumu_direct_minus_release,chi2_release_bridge,chi2_direct_y2,accept_release,accept_direct_y2,acceptance_flip,acceptance_gain,acceptance_loss
4.0,3.0500000000000003,2.9819800233054217,15.641629963358891,2.981980023305745,2.9803888185381093,-0.0015912047676356345,0.0015912047676356345,15.641629963365284,15.610180111001759,False,False,False,False,False
4.0,3.24,3.0219159993113847,16.441321930139043,3.021915999311396,3.020288432529394,-0.0016275667820022655,0.0016275667820022655,16.44132193013928,16.408341278678503,False,False,False,False,False
4.0,3.43,3.0620297195557646,17.26464242929134,3.062029719556629,3.0603652057525528,-0.001664513804076062,0.001664513804076062,17.264642429309287,17.230078852960727,False,False,False,False,False
4.0,3.62,3.102314893047456,18.11172496931982,3.102314893048903,3.10061284628114,-0.001702046767762866,0.001702046767762866,18.11172496935061,18.075525330852752,False,False,False,False,False
4.0,3.81,3.1427651568147774,18.98268994879772,3.1427651568162718,3.141024990465431,-0.0017401663508409548,0.0017401663508409548,18.982689948830274,18.944800108907206,False,False,False,False,False
4.0,4.0,3.1833740799514985,19.877644431517837,3.1833740799527437,3.1815952069807456,-0.00177887297199808,0.00177887297199808,19.877644431545594,19.838009259604785,False,False,False,False,False
4.8,0.2,13.739244327095353,951.6059410234676,13.73924432710559,13.707227951806598,-0.03201637529899237,0.03201637529899237,951.6059410250467,946.67412411081,False,False,False,False,False
4.8,0.39,13.75152135651519,953.5004988778174,13.751521356529606,13.719451394756586,-0.03206996177302024,0.03206996177302024,953.5004988800433,948.5555166735624,False,False,False,False,False
4.8,0.5800000000000001,13.763800559808562,955.3972767670156,13.763800559811965,13.731676949747646,-0.03212361006431941,0.03212361006431941,955.3972767675416,950.4391024558588,False,False,False,False,False
4.8,0.77,13.776081923339817,957.2962735826156,13.77608192335063,13.743904603180088,-0.032177320170541535,0.032177320170541535,957.2962735842887,952.3248803275659,False,False,False,False,False
4.8,0.96,13.788365433465112,959.1974882067078,13.788365433470666,13.756134341381822,-0.03223109208884445,0.03223109208884445,959.1974882075676,954.2128491392198,False,False,False,False,False
4.8,1.15,13.800651076532375,961.1009195118976,13.800651076542122,13.768366150725667,-0.03228492581645526,0.03228492581645526,961.1009195134079,956.1030077401026,False,False,False,False,False
4.8,1.34,13.812938838882449,963.0065663614772,13.81293883889613,13.780600017545865,-0.032338821350265334,0.032338821350265334,963.0065663635999,957.995354965354,False,False,False,False,False
4.8,1.53,13.825228706848948,964.9144276093948,13.825228706864253,13.79283592817724,-0.03239277868701329,0.03239277868701329,964.914427611772,959.8898896420037,False,False,False,False,False
4.8,1.72,13.837520666757728,966.82450210016,13.837520666769784,13.805073868946536,-0.032446797823247664,0.032446797823247664,966.8245021020341,961.7866105876259,False,False,False,False,False
4.8,1.91,13.849814704927338,968.736788668906,13.849814704934918,13.817313826179555,-0.03250087875536245,0.03250087875536245,968.7367886700856,963.685516611437,False,False,False,False,False
4.8,2.1,13.862110807668438,970.6512861412904,13.862110807677343,13.82955578619777,-0.03255502147957401,0.03255502147957401,970.6512861426777,965.5866065137651,False,False,False,False,False
4.8,2.29,13.874408961284974,972.5679933336678,13.874408961295865,13.84179973530401,-0.03260922599185534,0.03260922599185534,972.567993335366,967.4898790838182,False,False,False,False,False
4.8,2.4800000000000004,13.886709152073122,974.4869090529164,13.88670915208322,13.854045659795215,-0.03266349228800536,0.03266349228800536,974.4869090544927,969.3953331016501,False,False,False,False,False
4.8,2.6700000000000004,13.899011366322384,976.4080320966008,13.89901136632965,13.866293545965998,-0.03271782036365245,0.03271782036365245,976.4080320977362,971.3029673387093,False,False,False,False,False
4.8,2.8600000000000003,13.911315590314764,978.3313612528324,13.911315590323095,13.878543380108837,-0.032772210214258024,0.032772210214258024,978.3313612541358,973.2127805578629,False,False,False,False,False
4.8,3.0500000000000003,13.923621810325049,980.2568953003076,13.923621810331165,13.890795148496133,-0.032826661835031246,0.032826661835031246,980.2568953012652,975.1247715105908,False,False,False,False,False
4.8,3.24,13.935930012621332,982.1846330083764,13.935930012635659,13.903048837414557,-0.032881175221101344,0.032881175221101344,982.1846330106214,977.0389389423343,False,False,False,False,False
4.8,3.43,13.948240183464424,984.1145731369454,13.94824018347661,13.915304433109368,-0.03293575036724228,0.03293575036724228,984.1145731388568,978.9552815837935,False,False,False,False,False
4.8,3.62,13.96055230910861,986.0467144365851,13.960552309115483,13.92756192184732,-0.032990387268164056,0.032990387268164056,986.0467144376641,980.8737981607429,False,False,False,False,False
4.8,3.81,13.972866375800857,987.981055648398,13.972866375806683,13.93982128988828,-0.033045085918402606,0.033045085918402606,987.9810556493143,982.794487389596,False,False,False,False,False
4.8,4.0,13.985182369781512,989.917595504121,13.985182369784697,13.952082523472468,-0.033099846312229175,0.033099846312229175,989.9175955046222,984.7173479753933,False,False,False,False,False
5.6,0.2,57.971467023169026,20002.068007209375,57.97146702316152,57.155479927955426,-0.815987095206097,0.815987095206097,20002.06800720407,19429.209637479,False,False,False,False,False
5.6,0.39,57.97446421045843,20004.18750437777,57.974464210454144,57.15838736334343,-0.8160768471107147,0.8160768471107147,20004.187504374728,19431.236008504096,False,False,False,False,False
5.6,0.5800000000000001,57.97746133528231,20006.307069658527,57.97746133527802,57.1612947311,-0.8161666041780222,0.8161666041780222,20006.307069655497,19433.262438053753,False,False,False,False,False
5.6,0.77,57.980458397525034,20008.426702962883,57.98045839751931,57.16420203111446,-0.8162563664048434,0.8162563664048434,20008.42670295883,19435.28892604344,False,False,False,False,False
