D,eta,parent_fixedpoint_k11,parent_fixedpoint_k_bg,parent_fixedpoint_k22,parent_fixedpoint_e_part,parent_fixedpoint_e_tree,parent_fixedpoint_c_parent,parent_fixedpoint_xi_target,parent_fixedpoint_e_part_log,parent_fixedpoint_e_tree_log,eymh_parented_prefactor_diag
4.0,0.5800000000000001,1.399165018262556,1.052928468881864,1.9341389375072109,0.3991650182625559,0.8812104686253468,0.5930837991397101,0.1299796954955477,0.33587564316797797,0.6402720442040947,0.0433252408187335
4.8,0.5800000000000001,1.3864819309265684,1.3330127461264274,2.3626091336285877,0.38648193092656835,1.0295963875021603,0.6308093213617363,0.1214758961842552,0.32676955384061085,0.7629164803512248,0.0392193376908345
5.6,0.5800000000000001,1.3740167943150456,1.0489632309804584,2.163328996517531,0.37401679431504564,1.1143657655370727,0.6455939213782977,0.14021815641680668,0.31773841666217256,0.7592877969870705,0.0448967538721383
6.4,0.5800000000000001,1.408757447724341,1.2368422574530327,2.31093189548469,0.40875744772434097,1.0740896380316574,0.6626025498509506,0.13485990015909327,0.34270807311871954,0.7731368561110356,0.0493701311782508
7.2,0.5800000000000001,1.4653971286434333,1.5397550802947837,2.131691597403891,0.4653971286434333,0.5919365171091071,0.52486717881934,0.08818995535945841,0.3821262833064535,0.5008707435905297,0.0543924294753566
8.0,0.5800000000000001,1.4813765138251926,1.5891268740470006,2.1471719254068047,0.48137651382519264,0.5580450513598041,0.5182950717313286,0.08445432275577983,0.392971732431408,0.4782745304280132,0.0579949944055722
8.8,0.5800000000000001,1.489316794574241,1.1526414316992488,1.8912538581860279,0.48931679457424093,0.738612426486779,0.6011783969515313,0.12831275155289246,0.39831748767027503,0.5707693877789319,0.0457081664657773
9.6,0.5800000000000001,1.4963861819629267,1.1066533286499558,1.991814852044094,0.4963861819629267,0.8851615233941381,0.6628589209010497,0.14741767432381722,0.4030529892624549,0.6503865436700896,0.0411393810761781
10.4,0.5800000000000001,1.5001900944194106,1.191089660939199,2.1083009063998626,0.5001900944194106,0.9172112454606636,0.6773329900938788,0.1450526169944307,0.4055918296915858,0.6801286285013781,0.0443592616451587
11.2,0.5800000000000001,1.5018904005970815,1.263616892757297,2.1820845969915874,0.5018904005970815,0.9184677042342904,0.6789478065460037,0.14065751939166984,0.4067245817029342,0.6903170655835136,0.0459252717726018
12.0,0.5800000000000001,1.5025678316156819,1.324701506182844,2.2018192865527517,0.5025678316156819,0.8771177803699077,0.6639361271628954,0.1332406808610286,0.40717553224224756,0.6730766112916267,0.0457444390761541
12.8,0.5800000000000001,1.5279633895732954,1.114287005200122,1.9059510617543045,0.5279633895732954,0.7916640565541826,0.6465057143612044,0.14352251695019655,0.42393573075394975,0.5981118085922839,0.0392926695816402
13.6,0.5800000000000001,1.5316419342261165,1.1152775579450587,1.7973430290815124,0.5316419342261165,0.6820654711364538,0.6021748968064276,0.13172162322192224,0.4263403196051111,0.5322173370660885,0.0396207147568535
14.4,0.5800000000000001,1.5288748624391366,1.195999582362392,1.8917035929440424,0.5288748624391366,0.6957040105816505,0.6065808791041192,0.12721912480271702,0.4245320808501668,0.548360412970141,0.0396859720081252
15.2,0.5800000000000001,1.5261519456798223,1.2635129579283289,2.082546083689612,0.5261519456798223,0.8190331257612831,0.6564570608162621,0.1355876871728906,0.4227494991241369,0.6313715124182976,0.0417237648573981
16.0,0.5800000000000001,1.5223414824099712,1.3217878591111365,2.1089332993242156,0.5223414824099712,0.7871454402130791,0.6412165906409075,0.12806621536388982,0.420249598537704,0.6175353427934689,0.043503074629235
16.8,0.5800000000000001,1.5202307488638929,1.3729068193667717,2.143821891994659,0.5202307488638929,0.7709150726278873,0.6332880273174822,0.12305643834295361,0.41886213179953374,0.6118495281287697,0.0431099782091254
17.6,0.5800000000000001,1.5333451063625898,1.2679119024066776,1.9466286241972208,0.5333451063625898,0.6787167217905432,0.6016562491767584,0.12127571595302501,0.42745169286002205,0.5435888137598566,0.0407600933091185
18.4,0.5800000000000001,1.5405182049703174,1.20297833384972,1.7169023663713,0.5405182049703174,0.5139240325215799,0.5270534086311096,0.10502599838694988,0.43211885655718146,0.42792500554231283,0.0395745521139277
19.200000000000003,0.5800000000000001,1.0,1.2685122027208124,1.2685122027208124,0.0,0.0,0.0,0.0,0.0,0.0,0.0580670617382019
20.0,0.5800000000000001,1.0,1.3261537967964965,1.3261537967964965,0.0,0.0,0.0,0.0,0.0,0.0,0.0622911350603241
4.0,0.77,1.3985904370913835,1.052928468881864,1.9349620523317435,0.39859043709138353,0.8820335834498794,0.5929335136055026,0.12991191646552555,0.3354648987777554,0.6407200454567165,0.0433249215823191
4.8,0.77,1.3864995409067105,1.3330127461264274,2.3625620843150017,0.38649954090671046,1.0295493381885743,0.6308092790619773,0.12147675612764783,0.3267822549569517,0.7628899342931812,0.0392194791398549
5.6,0.77,1.3740219028415432,1.0489632309804584,2.163321585962678,0.37402190284154324,1.1143583549822198,0.6455961836766244,0.14021909812623726,0.3177421346058121,0.7592842037227594,0.0448967473081261
6.4,0.77,1.408758027936343,1.2368422574530327,2.310931061397086,0.40875802793634297,1.0740888039440535,0.6626027628441317,0.13485997999203345,0.34270848497945783,0.7731364096958975,0.0493701299210554
7.2,0.77,1.46539717508666,1.5397550802947837,2.131691550316045,0.4653971750866599,0.5919364700212615,0.5248671841320092,0.08818995629780121,0.38212631499972277,0.5008707095782222,0.0543924292141684
8.0,0.77,1.481376517522817,1.5891268740470006,2.1471719234259474,0.48137651752281707,0.5580450493789468,0.5182950728020534,0.08445432297182988,0.39297173492748133,0.47827452896197586,0.0579949943599438
8.8,0.77,1.4893167950828494,1.1526414316992488,1.891253857071711,0.4893167950828494,0.7386124253724622,0.6011783968104838,0.1283127515244652,0.3983174880117796,0.5707693870998016,0.045708166471438
9.6,0.77,1.4963861814197217,1.1066533286499558,1.991814853071339,0.4963861814197217,0.8851615244213833,0.6628589209229896,0.147417674311062,0.40305298889944363,0.6503865442408276,0.0411393810730366
