family,peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D4p814_max_abs_delta_mu,D5p356_max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
partial2,1.0,6.17,0.1,30.3375186785307,30.33815299601755,8.958857939127423,3.0827241868456454,10.272615087800261,1.187301409909935,4.533932454482212,30.33815299601755,7.462495817664127,30.33815299601755,10.272615087800261,30.33815299601755
pointamp3,0.75,6.31,0.05,30.34574890935644,30.346383388757893,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.516153966571864,30.346383388757893,7.462495924022722,30.346383388757893,10.272608773798765,30.346383388757893
partial2,0.75,6.31,0.05,30.374210669281382,30.374845708615304,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439395038146,25.54452734062913,30.374845708615304,7.462495924022772,30.374845708615304,10.272608773798773,30.374845708615304
pointamp3,0.5,6.24,0.08,30.464927072554868,30.46556389656626,8.95885793912742,3.082724186845642,10.272608773798765,1.372156005702891,17.464652154326572,30.46556389656626,7.462495914440556,30.46556389656626,10.272608773798765,30.46556389656626
partial2,0.5,6.24,0.08,30.4897988215781,30.49043613489517,8.958857939127423,3.0827241868456454,10.27260877380018,1.371739584353378,18.078985243124805,30.49043613489517,7.462495920499062,30.49043613489517,10.27260877380018,30.49043613489517
pointamp3,0.75,6.17,0.1,30.551226265455863,30.55186478724429,8.95885793912742,3.0827241868456987,10.272608764325128,1.376275690736719,8.182631230813769,30.55186478724429,7.4624957071035105,30.55186478724429,10.272608764325128,30.55186478724429
pointamp3,0.25,6.1,0.15,30.561699196587853,30.56233792441197,8.95885793912742,3.082724251137389,10.27255368761908,1.3944946311167428,20.229228388782985,30.56233792441197,7.4624540570889835,30.56233792441197,10.27255368761908,30.56233792441197
partial2,0.75,6.17,0.1,30.573495045872075,30.574134005757536,8.958857939127423,3.0827241868456206,10.272613509299774,1.233554012686497,9.411253013633285,30.574134005757536,7.462495844253802,30.574134005757536,10.272613509299774,30.574134005757536
partial2,0.25,6.1,0.15,30.583651898366178,30.584291058069034,8.958857939127423,3.082719877077178,10.30015048789285,0.6193410899980591,20.6476730135534,30.584291058069034,7.4624805280448,30.584291058069034,10.30015048789285,30.584291058069034
pointamp3,0.5,6.31,0.05,30.657822335262292,30.658462954131288,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395036867,25.64081693160834,30.658462954131288,7.462495924022722,30.658462954131288,10.272608773798765,30.658462954131288
partial2,0.5,6.31,0.05,30.676872044106698,30.677513037743488,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439395038857,25.659754883450915,30.677513037743488,7.462495924022772,30.677513037743488,10.272608773798773,30.677513037743488
pointamp3,0.5,6.17,0.1,30.795297894769384,30.79594121821578,8.95885793912742,3.082724186845642,10.272608767482964,1.3748984652053053,13.713484795979824,30.79594121821578,7.462495779409981,30.79594121821578,10.272608767482964,30.79594121821578
partial2,0.5,6.17,0.1,30.810189644877276,30.810833261291314,8.958857939127423,3.0827241868456206,10.272611930799378,1.2797786239192135,14.584333749906037,30.810833261291314,7.462495870843451,30.810833261291314,10.272611930799378,30.810833261291314
pointamp3,0.25,6.24,0.08,30.874255910032183,30.874900786831397,8.95885793912742,3.082724186845642,10.272608773798765,1.3721499726036512,21.58663328031021,30.874900786831397,7.462495919231667,30.874900786831397,10.272608773798765,30.874900786831397
partial2,0.25,6.24,0.08,30.886756332286616,30.88740145500865,8.958857939127423,3.0827241868456454,10.272608773799504,1.371941762196741,21.90683556341591,30.88740145500865,7.462495922260903,30.88740145500865,10.272608773799504,30.88740145500865
