peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
1.0,5.84,0.06,25.61243317022047,25.620061132890385,0.7537909719477653,25.620061132890385,14.88055918426349,4.945935673403689,2.6032105963583376,25.620061132890385,2.4729678367018444,25.620061132890385
0.75,5.96,0.1,25.642279578202757,25.649900248001813,0.7581127889005685,25.649900248001813,15.46444441173584,4.945797494105243,2.603210596357176,25.649900248001813,2.4728987470526214,25.649900248001813
1.0,5.96,0.06,25.893215640513652,25.90077499491767,0.7465128904008722,25.90077499491767,14.896361864257258,4.945935673403426,2.6032105963583376,25.90077499491767,2.472967836701713,25.90077499491767
0.75,5.84,0.08,26.01033392539502,26.01786466233429,0.832284366605613,26.01786466233429,14.881647535841665,4.945935673395482,2.6032105963583376,26.01786466233429,2.472967836697741,26.01786466233429
0.75,5.96,0.08,26.15701635616938,26.16451125174285,0.7470260603167773,26.16451125174285,15.050978845758308,4.945935465309539,2.6032105963583376,26.16451125174285,2.4729677326547694,26.16451125174285
0.5,5.9,0.16,26.620501820857644,26.627883465294204,1.2085135095495119,26.627883465294204,15.724670585034346,4.914182180746529,2.6032068714658614,26.627883465294204,2.4570910903732646,26.627883465294204
0.5,5.9,0.12,26.620678258870466,26.628059860194938,0.8951793583182521,26.628059860194938,15.161728313372762,4.945561316124781,2.60321059619136,26.628059860194938,2.4727806580623906,26.628059860194938
0.5,5.9,0.1,26.620855696845553,26.628237254813683,0.7941294717419822,26.628237254813683,14.973382012713202,4.94593137166045,2.6032105963583376,26.628237254813683,2.472965685830225,26.628237254813683
0.5,5.9,0.08,26.621182322381262,26.628563800539524,0.7523743271949712,26.628563800539524,14.892602535363167,4.945935672247749,2.6032105963583376,26.628563800539524,2.4729678361238747,26.628563800539524
0.5,5.9,0.06,26.621887899069563,26.62926920482255,0.7465756038459972,26.62926920482255,14.880703184165498,4.945935673403689,2.6032105963583376,26.62926920482255,2.4729678367018444,26.62926920482255
0.5,5.9,0.04,26.623903111221328,26.63128392456386,0.7465120745812825,26.63128392456386,14.880557200743354,4.945935673403689,2.6032105963583376,26.63128392456386,2.4729678367018444,26.63128392456386
0.5,5.88,0.16,26.646644985426533,26.654020241867542,1.3143546986651629,26.654020241867542,15.559874013404922,4.9252822500695075,2.603208636335019,26.654020241867542,2.4626411250347537,26.654020241867542
0.5,5.92,0.16,26.65726397094186,26.66463663266896,1.1166161274370339,26.66463663266896,15.913010943193527,4.897875466726674,2.6032036271988304,26.66463663266896,2.448937733363337,26.66463663266896
0.5,5.88,0.12,26.667028596389386,26.674398872162612,0.9608137508447214,26.674398872162612,15.071392208645264,4.945761442431497,2.6032105963050114,26.674398872162612,2.4728807212157484,26.674398872162612
0.5,5.92,0.12,26.685784470807047,26.693150163644532,0.8468362365002946,26.693150163644532,15.28338971509936,4.945153356540928,2.6032105958498235,26.693150163644532,2.472576678270464,26.693150163644532
0.5,5.88,0.1,26.687417823956153,26.694783117689198,0.8270914768027495,26.694783117689198,14.933648169157408,4.945934243418023,2.6032105963583376,26.694783117689198,2.4729671217090115,26.694783117689198
0.5,5.92,0.1,26.714250358246247,26.721609095538454,0.7735505058903058,26.721609095538454,15.036464053511693,4.945923240130341,2.60321059635832,26.721609095538454,2.4729616200651705,26.721609095538454
0.5,5.88,0.08,26.724663941617365,26.73202013438504,0.7598432081965854,26.73202013438504,14.885586672822441,4.9459356731968285,2.6032105963583376,26.73202013438504,2.4729678365984142,26.73202013438504
0.5,5.92,0.08,26.766088714677004,26.773434785438695,0.7489338482267698,26.773434785438695,14.9076558529285,4.945935667334098,2.6032105963583376,26.773434785438695,2.472967833667049,26.773434785438695
0.5,5.88,0.06,26.803873495547304,26.811210333722997,0.7467857536958675,26.811210333722997,14.880588100574471,4.945935673403689,2.6032105963583376,26.811210333722997,2.4729678367018444,26.811210333722997
0.5,5.92,0.06,26.87563145730348,26.882950761659103,0.7465252707676271,26.882950761659103,14.881174350639313,4.945935673403689,2.6032105963583376,26.882950761659103,2.4729678367018444,26.882950761659103
0.5,5.84,0.16,26.879497672273935,26.886816031932746,1.5653209532118737,26.886816031932746,15.300165014145392,4.937598887697,2.6032100785146284,26.886816031932746,2.4687994438485,26.886816031932746
0.75,5.84,0.06,26.88058711145041,26.887905204908364,0.7519711624537848,26.887905204908364,14.88055868826153,4.945935673403689,2.6032105963583376,26.887905204908364,2.4729678367018444,26.887905204908364
0.5,5.96,0.16,26.909311482323798,26.916622557076963,0.9732247968792009,26.916622557076963,16.353726464785453,4.840902816736779,2.6031873177894553,26.916622557076963,2.4204514083683897,26.916622557076963
0.5,5.88,0.04,27.020995389507938,27.028279174668533,0.7465120785535291,27.028279174668533,14.880557200270147,4.945935673403689,2.6032105963583376,27.028279174668533,2.4729678367018444,27.028279174668533
0.5,5.84,0.12,27.068881270094337,27.07615335449877,1.1564255038340434,27.07615335449877,14.961397442692729,4.945900950875796,2.603210596353332,27.07615335449877,2.472950475437898,27.07615335449877
0.75,5.96,0.06,27.087188926369393,27.09445653735871,0.746512686407371,27.09445653735871,14.892411023230508,4.9459356734035325,2.6032105963583376,27.09445653735871,2.4729678367017662,27.09445653735871
0.5,5.96,0.12,27.11890433191101,27.126164193346106,0.7885592772646532,27.126164193346106,15.64069637162153,4.942792426243415,2.603210592018531,27.126164193346106,2.4713962131217073,27.126164193346106
0.5,5.92,0.04,27.170949884805093,27.17819702908185,0.7465120744314433,27.17819702908185,14.880557212762056,4.945935673403689,2.6032105963583376,27.17819702908185,2.4729678367018444,27.17819702908185
