beta_peak,sigma_D,beta_eff,D,eta,effective_ref_amp,effective_ref_vs_raw_ratio,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
1.0,0.2,0.025296119350245127,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98476849499502,-41.818643123967135,-0.61718745505071,0.0
0.0,0.3,0.0,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.25,0.3,0.04877375441437493,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98143783160435,-41.821973787357805,-0.6172554512203452,0.0
0.5,0.3,0.09754750882874987,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.974519248784524,-41.828892370177634,-0.6173967102726284,0.0
0.75,0.3,0.1463212632431248,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.96760164320824,-41.83580997575392,-0.6175379693249092,0.0
1.0,0.3,0.19509501765749973,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.96068501473725,-41.84272660422491,-0.6176792283771921,0.0
0.0,0.05,0.0,5.898305084745763,1.15,4.519295341069158e-05,0.9850124022215598,90.80500805110192,48.99043442309266,48.99043442309268,-41.81457362800924,-0.6170893756358191,0.0
0.25,0.05,7.027525579117002e-27,5.898305084745763,1.15,4.519295341069158e-05,0.9850124022215598,90.80500805110192,48.99043442309266,48.99043442309268,-41.81457362800924,-0.6170893756358191,0.0
0.5,0.05,1.4055051158234003e-26,5.898305084745763,1.15,4.519295341069158e-05,0.9850124022215598,90.80500805110192,48.99043442309266,48.99043442309268,-41.81457362800924,-0.6170893756358191,0.0
0.75,0.05,2.1082576737351005e-26,5.898305084745763,1.15,4.519295341069158e-05,0.9850124022215598,90.80500805110192,48.99043442309266,48.99043442309268,-41.81457362800924,-0.6170893756358191,0.0
1.0,0.05,2.8110102316468006e-26,5.898305084745763,1.15,4.519295341069158e-05,0.9850124022215598,90.80500805110192,48.99043442309266,48.99043442309268,-41.81457362800924,-0.6170893756358191,0.0
