surface,D,mean_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mean_risk_score,max_risk_score,n_high_anchor_eta,high_anchor_eta_min,high_anchor_eta_max,mean_boundary_proximity
D60E21,17.016949152542374,2.480837015476837e-10,2.668259942595675e-10,0.00161652884370086,0.0016165513730965863,0,,,0.016163523639459526
D60E21,17.28813559322034,5.775426429034649e-09,6.2199184981190385e-09,0.0016164273440351085,0.0016164322331690348,0,,,0.01616350941324495
D60E21,17.559322033898304,9.701589338738277e-10,9.701589338738277e-10,0.0016163700937897516,0.0016163723540194859,0,,,0.016163505062450963
D60E21,17.83050847457627,9.701589338738277e-10,9.701589338738277e-10,0.0016163535383048762,0.001616354316237335,0,,,0.016163505062450963
D60E21,18.101694915254235,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
D60E21,18.372881355932204,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
D60E21,18.64406779661017,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
D60E21,18.915254237288135,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
D60E21,19.186440677966104,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
D60E21,19.45762711864407,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
D60E21,19.728813559322035,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
D60E21,20.0,9.701589338738277e-10,9.701589338738277e-10,0.0016163509883014853,0.0016163509883014853,0,,,0.016163505062450963
