ref_D,refamp2_peak,center_D,sigma_D,D,eta,target_mu,mu_new,delta_mu,acceptance_mismatch
9.694915254237287,0.0,5.9,0.1,6.169491525423729,0.2,72.85711943387253,72.06646393780726,-0.7906554960652699,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,0.39,72.8576226618424,72.06898766877671,-0.7886349930656849,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,0.5800000000000001,72.8581258854363,72.07151158782115,-0.7866142976151451,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,0.77,72.85862910442187,72.07403523754775,-0.7845938668741184,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,0.96,72.8591323191635,72.07655902161699,-0.78257329754652,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,1.15,72.85963552943858,72.07908228759027,-0.7805532418483097,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,1.34,72.86013873538302,72.08160555328314,-0.7785331820998778,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,1.53,72.86064193687325,72.08412900692889,-0.77651292994436,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,1.72,72.86114513404799,72.08665264862424,-0.7744924854237496,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,1.91,72.86164832683708,72.08917647833813,-0.7724718484989523,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,2.1,72.86215151515749,72.09169948741895,-0.7704520277385427,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,2.29,72.8626546991532,72.0942217766158,-0.7684329225374,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,2.4800000000000004,72.86315787871023,72.09674425360394,-0.7664136251062814,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,2.6700000000000004,72.86366105391085,72.09926691843275,-0.7643941354780992,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,2.8600000000000003,72.86416422471666,72.10178977111475,-0.7623744536019075,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,3.0500000000000003,72.86466739112022,72.10431281166733,-0.7603545794528941,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,3.24,72.86517055314152,72.10683604012569,-0.7583345130158392,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,3.43,72.8656737107654,72.10935945649784,-0.7563142542675649,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,3.62,72.86617686401031,72.11188306081768,-0.7542938031926383,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,3.81,72.86668001284127,72.11440685309975,-0.7522731597415202,0.0
9.694915254237287,0.0,5.9,0.1,6.169491525423729,4.0,72.86718315729819,72.11693083336483,-0.7502523239333527,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,0.2,45.73786443452171,58.121276937101605,12.383412502579894,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,0.39,45.737983507291375,58.12143315039051,12.383449643099134,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,0.5800000000000001,45.73810257960763,58.121589364558325,12.383486784950698,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,0.77,45.73822165138581,58.1217455764471,12.38352392506129,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,0.96,45.73834072259768,58.121901788668005,12.383561066070328,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,1.15,45.73845979316265,58.122057996842834,12.383598203680187,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,1.34,45.73857886303054,58.12221420443112,12.383635341400577,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,1.53,45.73869793242382,58.122370412752076,12.383672480328258,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,1.72,45.73881700115645,58.12252662179833,12.38370962064188,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,1.91,45.73893606924289,58.122682831552225,12.383746762309336,0.0
9.694915254237287,0.0,5.9,0.1,6.4406779661016955,2.1,45.73905513674126,58.1228390351841,12.383783898442843,0.0
