region,D,eta,mu_full,mu_base,mu_cf,chi2_full,chi2_base,chi2_cf,delta_base,delta_cf,abs_delta_base,abs_delta_cf,abs_improvement,cf_shift_vs_base,improved,worsened,obs_acceptance_flip_vs_base
D21_guard,4.0,2.4800000000000004,2.863300469037758,2.0298590783416146,2.119219523639462,13.382801641788271,2.479515366058427,3.232979519901094,-0.8334413906961435,-0.744080945398296,0.8334413906961435,0.744080945398296,0.08936044529784759,0.08936044529784759,1.0,0.0,0.0
D21_guard,4.0,2.575,2.882958465985096,2.0435505259702658,2.133367190248072,13.74478632398043,2.5884829967287866,3.3614214733272014,-0.8394079400148304,-0.749591275737024,0.8394079400148304,0.749591275737024,0.08981666427780644,0.08981666427780644,1.0,0.0,0.0
D21_guard,4.0,2.6700000000000004,2.9026662490704944,2.057320823037913,2.1475961105997663,14.112536600597434,2.700441652495248,3.4931246536493634,-0.8453454260325812,-0.7550701384707281,0.8453454260325812,0.7550701384707281,0.0902752875618531,0.0902752875618531,1.0,0.0,0.0
D21_guard,4.0,2.765,2.9224230699866847,2.0711709367700424,2.161907291445861,14.486075025173012,2.815440164779852,3.6281420047398023,-0.8512521332166423,-0.7605157785408236,0.8512521332166423,0.7605157785408236,0.09073635467581864,0.09073635467581864,1.0,0.0,0.0
D21_guard,4.0,2.8600000000000003,2.9422281749560883,2.085101854899203,2.176301760751856,14.86542339767742,2.9335284474145533,3.7665276484152024,-0.8571263200568855,-0.7659264142042321,0.8571263200568855,0.7659264142042321,0.09119990585265336,0.09119990585265336,1.0,0.0,0.0
D21_guard,4.0,2.955,2.962080804848188,2.099114586094514,2.1907805681414767,15.250602755469767,3.0547575280631483,3.90833691843848,-0.862966218753674,-0.7713002367067112,0.862966218753674,0.7713002367067112,0.09166598204696275,0.09166598204696275,1.0,0.0,0.0
D21_guard,4.0,3.0500000000000003,2.981980195298183,2.1132101604027227,2.2053447853525947,15.641633364472984,3.179179580635485,4.053626395591356,-0.8687700348954603,-0.7766354099455883,0.8687700348954603,0.7766354099455883,0.09213462494987201,0.09213462494987201,1.0,0.0,1.0
D21_guard,4.0,3.145,3.0019255768267654,2.1273896297011547,2.219995506705569,16.038534710573533,3.306847958729895,4.202453943858268,-0.8745359471256107,-0.7819300701211964,0.8745359471256107,0.7819300701211964,0.09260587700441425,0.09260587700441425,1.0,0.0,1.0
D21_guard,4.0,3.24,3.021916174961064,2.1416540681628957,2.2347338495842086,16.44132549125205,3.437817230141083,4.354878747760451,-0.8802621067981682,-0.7871823253768553,0.8802621067981682,0.7871823253768553,0.0930797814213129,0.0930797814213129,1.0,0.0,1.0
D21_guard,4.0,3.3350000000000004,3.0419512103566912,2.156004572734751,2.249560954929999,16.850023607448772,3.5721432124740886,4.5109613508848225,-0.8859466376219403,-0.7923902554266924,0.8859466376219403,0.7923902554266924,0.09355638219524787,0.09355638219524787,1.0,0.0,1.0
D21_guard,4.0,3.43,3.062029898920802,2.1704422636282006,2.2644779877498453,17.26464615566682,3.709883009903411,4.670763695650137,-0.8915876352926015,-0.7975519111709568,0.8915876352926015,0.7975519111709568,0.09403572412164474,0.09403572412164474,1.0,0.0,1.0
D21_guard,4.0,3.5250000000000004,3.0821514519362334,2.184968284824012,2.279486137637899,17.685209420319865,3.851095051122196,4.834349164357687,-0.8971831671122215,-0.8026653142983342,0.8971831671122215,0.8026653142983342,0.09451785281388725,0.09451785281388725,1.0,0.0,1.0
D21_guard,4.0,3.62,3.102315076186561,2.1995838045907607,2.294586619311862,18.11172886632535,3.995839128523975,5.0017826215739145,-0.9027312715958002,-0.807728456874699,0.9027312715958002,0.807728456874699,0.09500281472110128,0.09500281472110128,1.0,0.0,1.0
D21_guard,4.0,3.715,3.1225199740821146,2.2142900160178627,2.309780673164316,18.544219131949056,4.144176438664819,5.173130457895724,-0.9082299580642519,-0.8127393009177988,0.9082299580642519,0.8127393009177988,0.0954906571464531,0.0954906571464531,1.0,0.0,0.0
D21_guard,4.0,3.81,3.1427653437868956,2.2290881375635294,2.3250695658295313,18.9826940219041,4.296169624053512,5.348460635150236,-0.9136772062233662,-0.8176957779573644,0.9136772062233662,0.8176957779573644,0.09598142826600187,0.09598142826600187,1.0,0.0,0.0
D21_guard,4.0,3.905,3.1630503793463283,2.243979413618225,2.3404545907662966,19.427166500707703,4.451882816321018,5.527842733083765,-0.9190709657281033,-0.8225957885800317,0.9190709657281033,0.8225957885800317,0.09647517714807163,0.09647517714807163,1.0,0.0,0.0
D21_guard,4.0,4.0,3.1833742708158086,2.258965115084026,2.3559370688573176,19.87764868629885,4.6113816808207195,5.7113479975970005,-0.9244091557317824,-0.827437201958491,0.9244091557317824,0.827437201958491,0.09697195377329138,0.09697195377329138,1.0,0.0,0.0
D21_guard,6.4,0.2,59.87715710517647,57.77492467926743,60.2174232360679,21372.361894396818,19863.32582870672,21621.807975817122,-2.102232425909044,0.340266130891429,2.102232425909044,0.340266130891429,1.761966295017615,2.442498556800473,1.0,0.0,0.0
D21_guard,6.4,0.295,59.87723329314669,57.77500338650561,60.21750371273985,21372.417585131898,19863.38129267824,21621.867143738535,-2.102229906641078,0.3402704195931605,2.102229906641078,0.3402704195931605,1.7619594870479176,2.4425003262342386,1.0,0.0,0.0
D21_guard,6.4,0.39,59.877309480955944,57.775082093999806,60.217584189549285,21372.47327582187,19863.43675690761,21621.926311841984,-2.1022273869561374,0.3402747085933413,2.1022273869561374,0.3402747085933413,1.7619526783627961,2.4425020955494787,1.0,0.0,0.0
D21_guard,6.4,0.485,59.87738566877387,57.7751608019226,60.21766466653754,21372.528966590744,19863.492221516437,21621.98548015786,-2.102224866851266,0.34027899776366866,2.102224866851266,0.34027899776366866,1.7619458690875973,2.4425038646149346,1.0,0.0,0.0
D21_guard,6.4,0.5800000000000001,59.87746185614748,57.77523950982716,60.21774514367138,21372.584657107393,19863.547686189857,21622.04464866174,-2.1022223463203176,0.3402832875239028,2.1022223463203176,0.3402832875239028,1.7619390587964148,2.4425056338442204,1.0,0.0,0.0
D21_guard,6.4,0.675,59.87753804315192,57.77531821642377,60.21782561953042,21372.640347426754,19863.603150019015,21622.10381630931,-2.1022198267281524,0.3402875763785005,2.1022198267281524,0.3402875763785005,1.761932250349652,2.442507403106653,1.0,0.0,0.0
D21_guard,6.4,0.77,59.8776142299443,57.77539692287479,60.21790609522355,21372.69603766365,19863.658613823,21622.16298391584,-2.102217307069509,0.34029186527924793,2.102217307069509,0.34029186527924793,1.761925441790261,2.442509172348757,1.0,0.0,0.0
D21_guard,6.4,0.865,59.87769041622939,57.77547562935364,60.21798657091217,21372.751727602295,19863.71407772404,21622.22215160002,-2.1022147868757486,0.3402961546827754,2.1022147868757486,0.3402961546827754,1.7619186321929732,2.442510941558524,1.0,0.0,0.0
D21_guard,6.4,0.96,59.8777666024365,57.7755543361471,60.218067046892365,21372.807417556483,19863.769541924215,21622.28131957953,-2.102212266289399,0.34030044445586327,2.102212266289399,0.34030044445586327,1.761911821833536,2.4425127107452624,1.0,0.0,0.0
D21_guard,6.4,1.055,59.87784278832949,57.775633041187575,60.21814752113771,21372.863107353616,19863.8250049665,21622.34048636449,-2.102209747141913,0.34030473280822093,2.102209747141913,0.34030473280822093,1.761905014333692,2.442514479950134,1.0,0.0,0.0
D21_guard,6.4,1.15,59.87791897388065,57.77571174510863,60.218227994104005,21372.91879697343,19863.880467297367,21622.39965229,-2.1022072287720164,0.3403090202233585,2.1022072287720164,0.3403090202233585,1.7618982085486579,2.442516248995375,1.0,0.0,0.0
D21_guard,6.4,1.245,59.87799515928668,57.77579044916224,60.21830846722412,21372.97448655972,19863.93592979907,21622.458818409552,-2.1022047101244397,0.34031330793744274,2.1022047101244397,0.34031330793744274,1.761891402186997,2.4425180180618824,1.0,0.0,0.0
D21_guard,6.4,1.34,59.878071344315885,57.775869153401345,60.21838894055235,21373.030175943113,19863.99139250893,21622.517984763068,-2.1022021909145394,0.34031759623646707,2.1022021909145394,0.34031759623646707,1.7618845946780723,2.4425197871510065,1.0,0.0,0.0
D21_guard,6.4,1.435,59.87814752902723,57.77594785774807,60.21846941399772,21373.085865166708,19864.046855372053,21622.577151283658,-2.102199671279159,0.34032188497048566,2.102199671279159,0.34032188497048566,1.7618777863086734,2.4425215562496447,1.0,0.0,0.0
D21_guard,6.4,1.53,59.87822371347947,57.776026562262366,60.2185498876551,21373.141554273458,19864.102318430698,21622.636318041077,-2.102197151217105,0.3403261741756296,2.102197151217105,0.3403261741756296,1.7618709770414753,2.4425233253927345,1.0,0.0,0.0
D21_guard,6.4,1.625,59.87829989761207,57.77610526690658,60.21863036145402,21373.197243219096,19864.157781658327,21622.695484983502,-2.1021946307054833,0.3403304638419513,2.1021946307054833,0.3403304638419513,1.761864166863532,2.4425250945474346,1.0,0.0,0.0
D21_guard,6.4,1.72,59.878376081549355,57.77618397176804,60.218710835428965,21373.252932094525,19864.21324511647,21622.754652136304,-2.1021921097813134,0.34033475387960976,2.1021921097813134,0.34033475387960976,1.7618573559017037,2.442526863660923,1.0,0.0,0.0
D21_guard,6.4,1.815,59.878452265141696,57.77626267674377,60.21879130953364,21373.30862079035,19864.26870873258,21622.81381946544,-2.102189588397927,0.3403390443919463,2.102189588397927,0.3403390443919463,1.7618505440059806,2.442528632789873,1.0,0.0,0.0
D21_guard,6.4,1.91,59.878528448380095,57.77634138184059,60.21887178380218,21373.364309300003,19864.32417251145,21622.872986995997,-2.102187066539507,0.3403433354220837,2.102187066539507,0.3403433354220837,1.7618437311174233,2.4425304019615908,1.0,0.0,0.0
D21_guard,6.4,2.005,59.87860463145777,57.776420086797934,60.21895225788893,21373.41999776471,19864.379636269456,21622.932154473856,-2.102184544659835,0.3403476264311607,2.102184544659835,0.3403476264311607,1.7618369182286742,2.4425321710909955,1.0,0.0,0.0
