scenario,grid,D,eta,mu_mumu_full,mu_mumu_cmp,abs_delta_mu_mumu,chi2_mumu_full,chi2_mumu_cmp,accept_full,accept_cmp,acceptance_mismatch
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.5250000000000004,53.001002236358595,58.02383773521107,5.022835498852473,16641.646448729276,20039.118749146954,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.43,52.999625547933455,58.02233966960676,5.022714121673303,16640.758479293418,20038.058435377017,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.3350000000000004,52.998248845639154,58.02084158827658,5.022592742637428,16639.870524603135,20036.998138529445,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.24,52.99687212947589,58.01934349122058,5.022471361744692,16638.982584659287,20035.93785860514,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.145,52.99549539944356,58.0178453784387,5.022349978995138,16638.094659462513,20034.87759560495,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.0500000000000003,52.99411865555172,58.01634724994135,5.022228594389624,16637.20674901969,20033.817349537137,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.955,52.992741897793195,58.01484910572079,5.022107207927597,16636.318853326906,20032.75712039709,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.8600000000000003,52.99136512618419,58.01335094579461,5.021985819610421,16635.430972395337,20031.69690819815,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.765,52.98998834071848,58.01185277015605,5.021864429437564,16634.54310622168,20030.6367129364,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.6700000000000004,52.9886115413988,58.01035457880808,5.02174303740928,16633.655254808404,20029.57653461485,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.575,52.98723472822851,58.00885637175425,5.021621643525741,16632.767418158408,20028.51637323688,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.4800000000000004,52.98585790121561,58.0073581490035,5.021500247787891,16631.87959627755,20027.4562288097,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.385,52.98448106035807,58.005859910553426,5.0213788501953545,16630.991789165248,20026.39610133249,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.29,52.98310420565327,58.00436165640127,5.021257450748003,16630.103996820522,20025.33599080419,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.1950000000000003,52.98172733711608,58.00286338656316,5.021136049447087,16629.216219253678,20024.275897237076,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.1,52.980350454742386,58.001365101034686,5.021014646292301,16628.328456462765,20023.21582062892,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,2.005,52.978973558534975,57.99986679981889,5.020893241283915,16627.44070845031,20022.15576098275,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.91,52.97759664849401,57.99836848291585,5.0207718344218435,16626.55297521712,20021.095718299515,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.815,52.97621972463325,57.99687015034065,5.0206504257073945,16625.665256772805,20020.03569259075,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.72,52.974842786936115,57.9953718020752,5.020529015139083,16624.777553107346,20018.97568384455,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.625,52.97346583543359,57.99387343815325,5.020407602719658,16623.889864241475,20017.91569208567,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.53,52.972088870096584,57.99237505854309,5.020286188446505,16623.002190157124,20016.85571729256,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.435,52.97071189095272,57.99087666327485,5.020164772322126,16622.114530872823,20015.79575948741,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.34,52.9693348979908,57.98937825233628,5.020043354345482,16621.22688638207,20014.73581866244,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.245,52.967957891220266,57.98787982573772,5.0199219345174555,16620.339256691663,20013.675894825836,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.15,52.9665808706477,57.98638138348634,5.019800512838643,16619.451641806554,20012.61598798355,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,1.055,52.96520383626276,57.984882925570766,5.019679089308006,16618.564041720794,20011.556098128436,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.96,52.963826788075046,57.983384452001616,5.0195576639265695,16617.67645644128,20010.49622526886,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.865,52.962449726095045,57.98188596279024,5.019436236695192,16616.788885975493,20009.436369413743,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.77,52.96107265031055,57.98038745792325,5.019314807612702,16615.90133031626,20008.376530554488,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.675,52.959695560731745,57.978888937411874,5.019193376680128,16615.01378947088,20007.316708699924,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.5800000000000001,52.95831845737875,57.97739040127794,5.019071943899185,16614.126263453018,20006.256903866353,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.485,52.95694134022074,57.97589184948798,5.018950509267242,16613.238752243513,20005.19711603101,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.39,52.955564209266726,57.97439328205171,5.018829072784982,16612.3512558489,20004.13734520161,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.295,52.954187064558965,57.97289469901527,5.018707634456305,16611.463774297114,20003.07759141169,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,0.2,52.95280990608075,57.97139610036019,5.018586194279436,16610.576307578107,20002.01785464905,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,4.0,73.31712828008988,77.66188612536867,4.344757845278792,32325.458375343136,36349.220471241846,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,3.81,73.3157640331047,77.66044894775861,4.344684914653911,32324.23197790746,36347.85046071059,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,3.62,73.31439976801113,77.6590117506427,4.3446119826315766,32323.005587458232,36346.48045740413,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,3.43,73.31303548482741,77.6575745340404,4.344539049212997,32321.779204012782,36345.11046134204,False,False,False
large_full_vs_cell_direct_runtime_release_tuned,D60xE21,5.898305084745763,3.24,73.31167118356616,77.6561372979647,4.344466114398543,32320.55282758336,36343.74047253777,False,False,False
