D,k_bg_med,E_part_med,E_part_smooth_fit,E_tree_med,E_tree_smooth_fit,E_tree_twofreq_global_fit,E_tree_piecewise_best_fit,xi_target_med,xi_recon_smooth_tree_smooth,xi_recon_smooth_tree_twofreq_global,xi_recon_smooth_tree_piecewise_best
16.4,1.3477040036769834,0.5224110308065044,0.5346708636273865,0.7829068083011594,0.7645969685723134,0.8803144828639983,0.7636539368330288,0.12609034328579247,0.12610956952887745,0.13765447273382003,0.12601028663350541
16.8,1.3729068193667717,0.519993092774879,0.5336783052793268,0.779708363237718,0.7611757557007428,0.817086941931384,0.7318839257461035,0.1240106643158503,0.1241134938968725,0.12982868748341353,0.12099810193154473
17.200000000000003,1.3497943618170907,0.5240256972717543,0.532242336494392,0.7534369625638666,0.7494552061269616,0.7224383625795363,0.6939963205880681,0.12319915314872609,0.12401195880756115,0.12110002447850343,0.11795129464193943
17.6,1.2679119024066776,0.533345106362586,0.5303665476698091,0.6787167217903409,0.7168853662879773,0.6260472069524802,0.6510906699841497,0.12127571595300088,0.12517402616842335,0.11455581612676538,0.11758355186098864
18.0,1.1674701716671605,0.5421795382279988,0.5280556191425707,0.5112688165784269,0.6400775255665514,0.5541372525289524,0.6043591771345939,0.10707160549955175,0.1223723551460589,0.11123045824247649,0.11787283695801887
18.4,1.20297833384972,0.5405182049703023,0.5253153017316108,0.5139240325216037,0.49716277393496,0.5199743231612638,0.5550321184505924,0.10502599838695138,0.1007103391624494,0.10393671308266407,0.1087319275256666
18.8,1.236950473377259,0.5389378447668909,0.5221523928931319,0.5164450896374899,0.31241669212196727,0.5164450793715096,0.5043249508256918,0.10314824682398757,0.0691701981110394,0.10103768361388953,0.09935326006768283
19.200000000000003,1.2685122027208124,0.0,2.5737212852036485e-09,0.0,0.1579268184323551,7.931835484552362e-18,1.4227758428692289e-12,0.0,2.8494706540566926e-10,1.609313156073612e-26,2.886711261888741e-21
19.6,1.29788076025205,0.0,1.383834456707933e-34,0.0,0.06872849438949492,1.0326629897233023e-35,7.278545757206673e-36,0.0,6.959477141751652e-36,1.1010523239967097e-69,7.760576103764628e-70
20.0,1.3261537967964965,0.0,9.208553446961232e-36,0.0,0.027714922999978436,1.0736627128657058e-35,6.405381353708789e-36,0.0,1.8850745717951336e-37,7.455304580295542e-71,4.447771946683771e-71
