center_D,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
5.8,0.15,4.813559322033898,2.29,14.866854105619598,13.54882770941436,1.318026396205239,0.09283415060713343,0.0
5.8,0.2,4.813559322033898,2.29,14.86686123149064,13.54882770941436,1.3180335220762807,0.09283462991965548,0.0
6.0,0.1,4.813559322033898,2.29,14.86685410506459,13.54882770941436,1.3180263956502305,0.09283415056980161,0.0
6.0,0.15,4.813559322033898,2.29,14.866854105064643,13.54882770941436,1.3180263956502838,0.09283415056980525,0.0
6.0,0.2,4.813559322033898,2.29,14.866854136231613,13.54882770941436,1.3180264268172532,0.09283415266621174,0.0
6.2,0.1,4.813559322033898,2.29,14.86685410506459,13.54882770941436,1.3180263956502305,0.09283415056980161,0.0
6.2,0.15,4.813559322033898,2.29,14.86685410506459,13.54882770941436,1.3180263956502305,0.09283415056980161,0.0
6.2,0.2,4.813559322033898,2.29,14.866854105114713,13.54882770941436,1.318026395700354,0.09283415057317311,0.0
5.8,0.1,4.813559322033898,2.4800000000000004,14.879811086438506,13.560480685680766,1.3193304007577407,0.09284560284001728,0.0
5.8,0.15,4.813559322033898,2.4800000000000004,14.879811086993998,13.560480685680766,1.3193304013132323,0.09284560287734907,0.0
5.8,0.2,4.813559322033898,2.4800000000000004,14.879818219075483,13.560480685680766,1.3193375333947177,0.09284608218987087,0.0
6.0,0.1,4.813559322033898,2.4800000000000004,14.879811086438506,13.560480685680766,1.3193304007577407,0.09284560284001728,0.0
6.0,0.15,4.813559322033898,2.4800000000000004,14.879811086438558,13.560480685680766,1.3193304007577922,0.0928456028400207,0.0
6.0,0.2,4.813559322033898,2.4800000000000004,14.879811117632691,13.560480685680766,1.3193304319519257,0.09284560493642727,0.0
6.2,0.1,4.813559322033898,2.4800000000000004,14.879811086438506,13.560480685680766,1.3193304007577407,0.09284560284001728,0.0
6.2,0.15,4.813559322033898,2.4800000000000004,14.879811086438506,13.560480685680766,1.3193304007577407,0.09284560284001728,0.0
6.2,0.2,4.813559322033898,2.4800000000000004,14.87981108648867,13.560480685680766,1.319330400807905,0.09284560284338854,0.0
5.8,0.1,4.813559322033898,2.6700000000000004,14.892780443761776,13.572135486834785,1.3206449569269907,0.09285773185889036,0.0
5.8,0.15,4.813559322033898,2.6700000000000004,14.892780444317747,13.572135486834785,1.320644957482962,0.09285773189622192,0.0
5.8,0.2,4.813559322033898,2.6700000000000004,14.892787582615616,13.572135486834785,1.3206520957808312,0.0928582112087442,0.0
6.0,0.1,4.813559322033898,2.6700000000000004,14.892780443761776,13.572135486834785,1.3206449569269907,0.09285773185889036,0.0
6.0,0.15,4.813559322033898,2.6700000000000004,14.892780443761827,13.572135486834785,1.3206449569270422,0.0928577318588938,0.0
6.0,0.2,4.813559322033898,2.6700000000000004,14.892780474983146,13.572135486834785,1.320644988148361,0.09285773395530002,0.0
6.2,0.1,4.813559322033898,2.6700000000000004,14.892780443761776,13.572135486834785,1.3206449569269907,0.09285773185889036,0.0
6.2,0.15,4.813559322033898,2.6700000000000004,14.892780443761776,13.572135486834785,1.3206449569269907,0.09285773185889036,0.0
6.2,0.2,4.813559322033898,2.6700000000000004,14.892780443811983,13.572135486834785,1.3206449569771976,0.09285773186226158,0.0
5.8,0.1,4.813559322033898,2.8600000000000003,14.905762205856465,13.583792100548212,1.321970105308253,0.092870538695841,0.0
5.8,0.15,4.813559322033898,2.8600000000000003,14.905762206412923,13.583792100548212,1.321970105864711,0.09287053873317268,0.0
5.8,0.2,4.813559322033898,2.8600000000000003,14.90576935093311,13.583792100548212,1.3219772503848972,0.09287101804569467,0.0
6.0,0.1,4.813559322033898,2.8600000000000003,14.905762205856465,13.583792100548212,1.321970105308253,0.092870538695841,0.0
6.0,0.15,4.813559322033898,2.8600000000000003,14.905762205856517,13.583792100548212,1.3219701053083046,0.09287053869584444,0.0
6.0,0.2,4.813559322033898,2.8600000000000003,14.905762237105053,13.583792100548212,1.3219701365568408,0.09287054079225093,0.0
6.2,0.1,4.813559322033898,2.8600000000000003,14.905762205856465,13.583792100548212,1.321970105308253,0.092870538695841,0.0
6.2,0.15,4.813559322033898,2.8600000000000003,14.905762205856465,13.583792100548212,1.321970105308253,0.092870538695841,0.0
6.2,0.2,4.813559322033898,2.8600000000000003,14.905762205906717,13.583792100548212,1.3219701053585045,0.09287053869921238,0.0
5.8,0.1,4.813559322033898,3.0500000000000003,14.918756401641039,13.595450514485956,1.3233058871550831,0.09288402442157624,0.0
5.8,0.15,4.813559322033898,3.0500000000000003,14.918756402197983,13.595450514485956,1.3233058877120278,0.09288402445890803,0.0
5.8,0.2,4.813559322033898,3.0500000000000003,14.918763552946455,13.595450514485956,1.3233130384604994,0.09288450377143022,0.0
