D,eta,mu_mumu_center,mu_mumu_min,mu_mumu_max,mu_mumu_half_width,mu_mumu_full_span,case_at_min,case_at_max
18.4,0.5800000000000001,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
19.200000000000003,0.5800000000000001,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
20.0,0.5800000000000001,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
4.0,0.675,1.911750413661073,1.9117466367657023,1.9117541942306757,3.778732486692249e-06,7.557464973384498e-06,gamma_diag_plus,gamma_diag_minus
4.8,0.675,11.525032895101647,11.524951127284929,11.525114789725832,8.183122045135605e-05,0.0001636624409027121,gamma_diag_plus,gamma_diag_minus
5.6,0.675,52.95969556073176,52.958201794227,52.96119241701114,0.0014953113920697092,0.0029906227841394184,gamma_diag_plus,gamma_diag_minus
6.4,0.675,57.7978805542958,57.79399510837892,57.80177552598877,0.0038902088049255212,0.0077804176098510425,gamma_diag_plus,gamma_diag_minus
7.2,0.675,3.4844544732396594,3.4841123430229777,3.4847974952032916,0.0003425760901569763,0.0006851521803139526,gamma_diag_plus,gamma_diag_minus
8.0,0.675,2.318770699249914,2.3183265266667794,2.319216038297491,0.00044475581535574626,0.0008895116307114925,gamma_diag_plus,gamma_diag_minus
8.8,0.675,1.5837709968764597,1.5837697220622085,1.5837722681875546,1.273062673057268e-06,2.546125346114536e-06,gamma_diag_minus,gamma_diag_plus
9.600000000000001,0.675,0.9999999983833905,0.9999999983833904,0.9999999983833906,1.1102230246251565e-16,2.220446049250313e-16,legacy_zero_match,mu_low_minus
10.4,0.675,0.49393771618827614,0.4938882786157043,0.49398729233538663,4.95068598411752e-05,9.90137196823504e-05,gamma_diag_plus,gamma_diag_minus
11.2,0.675,0.1508634722883626,0.15083345619474317,0.15089357407038606,3.0058937821444975e-05,6.011787564288995e-05,gamma_diag_plus,gamma_diag_minus
12.0,0.675,0.03759244545662685,0.03758156570926731,0.037603356761259386,1.089552599603874e-05,2.179105199207748e-05,gamma_diag_plus,gamma_diag_minus
12.8,0.675,0.002337903304928232,0.002337620909047037,0.0023381849417288244,2.8201634089358545e-07,5.640326817871709e-07,gamma_diag_minus,gamma_diag_plus
13.600000000000001,0.675,0.0001766346441279482,0.00017660952904034226,0.0001766596919744362,2.508146704697622e-08,5.016293409395244e-08,gamma_diag_minus,gamma_diag_plus
14.4,0.675,4.3660278738391566e-05,4.365800472609485e-05,4.366254656041143e-05,2.270917158289518e-09,4.541834316579036e-09,gamma_diag_minus,gamma_diag_plus
15.200000000000001,0.675,1.2047470232433824e-05,1.2047076310197568e-05,1.2047865246664739e-05,3.9446823358529686e-10,7.889364671705937e-10,gamma_diag_plus,gamma_diag_minus
16.0,0.675,1.7440493221706118e-06,1.7438510296966347e-06,1.7442481723939993e-06,1.9857134868229682e-10,3.9714269736459364e-10,gamma_diag_plus,gamma_diag_minus
16.8,0.675,3.3117732394434063e-07,3.311139027970691e-07,3.3124092595838704e-07,6.35115806589717e-11,1.270231613179434e-10,gamma_diag_plus,gamma_diag_minus
17.6,0.675,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
18.4,0.675,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
19.200000000000003,0.675,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
20.0,0.675,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
4.0,0.77,1.9259612633374992,1.9259574403543198,1.9259650900398178,3.8248427489673276e-06,7.649685497934655e-06,gamma_diag_plus,gamma_diag_minus
4.8,0.77,11.530181146758045,11.53009931063285,11.53026310979709,8.189958211968218e-05,0.00016379916423936436,gamma_diag_plus,gamma_diag_minus
5.6,0.77,52.96107265031057,52.95957880062956,52.96256958994076,0.0014953946556026665,0.002990789311205333,gamma_diag_plus,gamma_diag_minus
6.4,0.77,57.797955005652504,57.7940695467845,57.80184999032942,0.0038902217724618993,0.0077804435449237985,gamma_diag_plus,gamma_diag_minus
7.2,0.77,3.4844546273921644,3.4841124971128963,3.4847976494185513,0.00034257615282751175,0.0006851523056550235,gamma_diag_plus,gamma_diag_minus
8.0,0.77,2.318770697719998,2.318326525132628,2.319216036771825,0.0004447558195985746,0.0008895116391971492,gamma_diag_plus,gamma_diag_minus
8.8,0.77,1.5837709941703753,1.5837697193561262,1.5837722654814672,1.273062670503755e-06,2.54612534100751e-06,gamma_diag_minus,gamma_diag_plus
9.600000000000001,0.77,0.9999999984852561,0.9999999984852559,0.9999999984852561,1.1102230246251565e-16,2.220446049250313e-16,mu_low_plus,center_nonzero
10.4,0.77,0.49393768889617423,0.4938882513263365,0.49398726504054297,4.950685710322644e-05,9.901371420645289e-05,gamma_diag_plus,gamma_diag_minus
11.2,0.77,0.15086343101716024,0.15083341493173738,0.15089353279096374,3.0058929613177576e-05,6.011785922635515e-05,gamma_diag_plus,gamma_diag_minus
