beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.0,0.4,4.8,1.0,13.676073627145422,13.790954693731495,-0.11488106658607222,-0.008365064843333306,0.0
0.0,0.6,4.8,1.0,13.676073627145422,13.790954693731495,-0.11488106658607222,-0.008365064843333306,0.0
0.0,0.8,4.8,1.0,13.676073627145422,13.790954693731495,-0.11488106658607222,-0.008365064843333306,0.0
0.25,0.2,4.8,1.0,13.676317797012475,13.790954693731495,-0.11463689671901989,-0.008347211203900192,0.0
0.25,0.3,4.8,1.0,13.696880942732934,13.790954693731495,-0.09407375099856097,-0.006844781781306642,0.0
0.25,0.4,4.8,1.0,13.774933502913996,13.790954693731495,-0.016021190817498976,-0.001162392628682072,0.0
0.25,0.6,4.8,1.0,13.978600740558282,13.790954693731495,0.18764604682678687,0.013514721426152052,0.0
0.25,0.8,4.8,1.0,14.124741737289346,13.790954693731495,0.3337870435578516,0.023915072498294807,0.0
0.5,0.2,4.8,1.0,13.676561971238852,13.790954693731495,-0.11439272249264221,-0.008329357564469774,0.0
0.5,0.3,4.8,1.0,13.717719915387526,13.790954693731495,-0.07323477834396819,-0.0053244987192892935,0.0
0.5,0.4,4.8,1.0,13.874508004481115,13.790954693731495,0.08355331074962002,0.006040279585968034,0.0
0.5,0.6,4.8,1.0,14.28782002723998,13.790954693731495,0.4968653335084845,0.03539450769563917,0.0
0.5,0.8,4.8,1.0,14.588129209038645,13.790954693731495,0.7971745153071499,0.056195209839920685,0.0
0.75,0.2,4.8,1.0,13.676806149824621,13.790954693731495,-0.11414854390687346,-0.008311503925042594,0.0
0.75,0.3,4.8,1.0,13.738590593273685,13.790954693731495,-0.052364100457809926,-0.0038042156572680743,0.0
0.75,0.4,4.8,1.0,13.974802297643652,13.790954693731495,0.1838476039121577,0.013242951800620737,0.0
0.75,0.6,4.8,1.0,14.603879524113708,13.790954693731495,0.8129248303822134,0.05727429396512603,0.0
0.75,0.8,4.8,1.0,15.06671893743575,13.790954693731495,1.2757642437042556,0.08847534718154693,0.0
1.0,0.2,4.8,1.0,13.677050332769962,13.790954693731495,-0.11390436096153245,-0.008293650285611359,0.0
1.0,0.3,4.8,1.0,13.759493024628942,13.790954693731495,-0.0314616691025531,-0.002283932595246823,0.0
1.0,0.4,4.8,1.0,14.075821585540213,13.790954693731495,0.2848668918087185,0.02044562401527066,0.0
