D,eta,mu_full,mu_detlin_map,mu_detlin_path,chi2_full,chi2_detlin,acceptance_mismatch,width_full,width_detlin,c_uv22_full,c_uv22_detlin,delta_log_mu,delta_log_uv_ratio,delta_log_fin_ratio,delta_log_rge_ratio,delta_log_width_term,identity_residual,delta_log_uv_g_only,delta_log_uv_p_only,delta_log_uv_m2_only,dominant_component,abs_width_component,abs_uv_component,abs_fin_component,abs_rge_component
4.0,3.7150000000000003,2.3878207831346545,2.3916528262548775,2.391652826255079,6.098686872454763,6.146095798870539,0.0,397.94267153509657,499.6598419428344,0.0015398758745058594,0.0016800255220200302,-0.2666556737917162,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.22761959724746283,-3.0531133177191805e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.22761959724746283,0.03888284300994549,0.0,0.00015323353430481135
4.0,3.81,2.4033101960011223,2.3977258860491086,2.3977258860493076,6.291445933748815,6.2216058980779945,0.0,396.1180317575466,499.3256582883112,0.0015413140263793401,0.0016815945652734444,-0.2705823544137935,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.23154627786954052,-2.7200464103316335e-15,-0.10523521912657063,0.0,0.08579379762159878,width,0.23154627786954052,0.03888284300994549,0.0,0.00015323353430481135
4.0,3.9050000000000002,2.4188300598013246,2.4037940522828896,2.403794052283089,6.487591817217316,6.2975156212406525,0.0,394.30511552291284,498.985713763002,0.0015427377513870483,0.0016831478686200893,-0.274488527670792,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.23545245112653923,-2.4980018054066022e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.23545245112653923,0.03888284300994549,0.0,0.00015323353430481135
4.0,4.0,2.4343797555642395,2.409857180552786,2.4098571805529856,6.687134242007098,6.373822031962643,0.0,392.5038842910549,498.6401024856656,0.0015441471247237223,0.0016846855140984472,-0.2783742411187634,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.23933816457451051,-8.326672684688674e-16,-0.10523521912657152,0.0,0.08579379762159789,width,0.23933816457451051,0.038882843009947266,0.0,0.00015323353430481135
4.8,0.2,11.49929856244426,79.88570884783314,79.88570884783435,637.4739465836794,38500.0405834177,0.0,93.95499366753128,14.629626630602202,0.0015683202593658858,0.0016574525087611792,1.760340470722256,-0.05127195205737056,0.0,0.0015585959474005173,1.8597671829421998,-3.552713678800501e-15,-0.05062563949037724,0.0,-0.0006463125669924352,width,1.8597671829421998,0.10254390411474112,0.0,0.0031171918948010345
4.8,0.29500000000000004,11.50444450080809,79.87931306097192,79.87931306097315,638.1237416869426,38493.76611576273,0.0,93.91831023587707,14.631619612110233,0.001568364294453129,0.0016574990464918431,1.7598137384067045,-0.05127195205737056,0.0,0.0015585959474005173,1.8592404506266478,-3.1086244689504383e-15,-0.05062563949037813,0.0,-0.0006463125669924352,width,1.8592404506266478,0.10254390411474112,0.0,0.0031171918948010345
4.8,0.39,11.509590904681522,79.87292217264755,79.87292217264877,638.7739266251208,38487.49696446499,0.0,93.88164646487063,14.63361055540703,0.0015684082500680974,0.001657545500233589,1.759287220787308,-0.05127195205737145,0.0,0.0015585959474005173,1.8587139330072513,-1.3322676295501878e-15,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8587139330072513,0.1025439041147429,0.0,0.0031171918948010345
4.8,0.48500000000000004,11.514737772637506,79.86653618026438,79.8665361802656,639.4245013076245,38481.23312580461,0.0,93.84500234745038,14.635599460620183,0.0015684521262446694,0.0016575918700222206,1.7587609178444104,-0.05127195205737145,0.0,0.0015585959474005173,1.8581876300643536,-1.3322676295501878e-15,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8581876300643536,0.1025439041147429,0.0,0.0031171918948010345
4.8,0.5800000000000001,11.519885103252694,79.8601550812237,79.86015508122487,640.0754656439735,38474.97459606044,0.0,93.80837787653407,14.637586327881918,0.0015684959230168687,0.0016576381558936965,1.758234829557911,-0.05127195205737145,0.0,0.0015585959474005173,1.857661541777854,-8.881784197001252e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.857661541777854,0.1025439041147429,0.0,0.0031171918948010345
4.8,0.675,11.52503289510164,79.85377887292779,79.85377887292904,640.726819543064,38468.72137151406,0.0,93.77177304504471,14.63957115732511,0.001568539640418695,0.001657684357883947,1.7577089559078103,-0.05127195205737145,0.0,0.0015585959474005173,1.857135668127753,-8.881784197001252e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.857135668127753,0.1025439041147429,0.0,0.0031171918948010345
4.8,0.77,11.530181146758038,79.84740755277815,79.84740755277939,641.3785629133248,38462.47344844796,0.0,93.73518784590115,14.641553949083704,0.0015685832784841207,0.0016577304760288767,1.7571832968740804,-0.05127195205737145,0.0,0.0015585959474005173,1.8566100090940232,-8.881784197001252e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8566100090940232,0.1025439041147429,0.0,0.0031171918948010345
4.8,0.865,11.535329856796782,79.84104111817526,79.84104111817648,642.0306956629767,38456.23082314537,0.0,93.698622272014,14.643534703294675,0.001568626837247202,0.0016577765103644767,1.7566578524364886,-0.05127195205737056,0.0,0.0015585959474005173,1.8560845646564315,-2.6645352591003757e-15,-0.05062563949037813,0.0,-0.0006463125669924352,width,1.8560845646564315,0.10254390411474112,0.0,0.0031171918948010345
4.8,0.96,11.540479023790857,79.83467956651927,79.8346795665205,642.6832176996396,38449.99349189096,0.0,93.66207631629383,14.645513420095245,0.0015686703167419318,0.0016578224609266716,1.7561326225748761,-0.05127195205737145,0.0,0.0015585959474005173,1.8555593347948185,-4.440892098500626e-16,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.8555593347948185,0.1025439041147429,0.0,0.0031171918948010345
4.8,1.055,11.54562864631328,79.82832289521023,79.8283228952115,643.3361289305788,38443.76145097098,0.0,93.62554997164834,14.647490099624893,0.0015687137170023512,0.0016578683277514374,1.7556076072689866,-0.05127195205737056,0.0,0.0015585959474005173,1.855034319488929,-2.220446049250313e-15,-0.05062563949037813,0.0,-0.0006463125669933234,width,1.855034319488929,0.10254390411474112,0.0,0.0031171918948010345
4.8,1.15,11.550778722937414,79.82197110164661,79.82197110164786,643.9894292627431,38437.53469667184,0.0,93.58904323097558,14.649464742024987,0.0015687570380625141,0.001657914110874763,1.755082806498422,-0.05127195205737056,0.0,0.0015585959474005173,1.854509518718365,-2.6645352591003757e-15,-0.05062563949037813,0.0,-0.0006463125669924352,width,1.854509518718365,0.10254390411474112,0.0,0.0031171918948010345
