D_left,D_right,delta_D,N,lambda_left_fixed,lambda_right_fixed,lambda_displacement_fixed,overlap_signed,overlap_abs,actual_rank_one_projector_sin,rank_one_drift_pass,rayleigh_shift_mean_deltaU,rayleigh_mu,residual_rms_centered_deltaU,raw_davis_kahan_gap,raw_davis_kahan_bound,raw_davis_kahan_bound_clipped,raw_davis_kahan_pass_unclipped,t3a_endpoint_max_Pprime_bound,t3a_integrated_path_bound,t3a_path_bound_pass
15.2,16.0,0.8000000000000007,2,0.7097451327729218,0.7098508053905588,0.00010567261763694269,0.9995918664141469,0.9995918664141469,0.02856747448904632,True,0.00023089254027694586,0.7099760253131988,0.06346884773568968,0.03879449605384799,1.6360271221874594,1.0,False,0.0724670295536242,0.057973623642899416,True
15.2,16.0,0.8000000000000007,3,0.7469857583816355,0.7487705213670468,0.0017847629854113034,0.9998613833968681,0.9998613833968681,0.01664974449356498,True,0.0017999931810988683,0.7487857515627344,0.045238080213507434,0.03893494617217563,1.1618888597780124,1.0,False,0.0675647195526869,0.05405177564214957,True
16.0,16.8,0.8000000000000007,1,0.6708317506049222,0.6693085605440869,0.0015231900608352333,0.9999168794123019,0.9999168794123019,0.012893186819560351,True,-0.0014874739513832383,0.6693442766535389,0.03836142622458865,0.04024637576763879,0.9531647382628231,0.9531647382628231,False,0.0345376598962778,0.027630127917022265,True
16.0,16.8,0.8000000000000007,2,0.7098508053905588,0.7095906524211777,0.0002601529693810889,0.999587621122716,0.999587621122716,0.0287156350831644,True,-0.00013361337902964365,0.7097171920115292,0.06373846390599426,0.040408631467442224,1.577347749511121,1.0,False,0.0726055812735372,0.05808446501882981,True
16.0,16.8,0.8000000000000007,3,0.7487705213670468,0.7505413714734626,0.0017708501064157556,0.9998814743489771,0.9998814743489771,0.01539601421523836,True,0.001807739618041027,0.7505782609850878,0.051486022804942896,0.04098760856391015,1.2561362960384244,1.0,False,0.0722834060836062,0.05782672486688501,True
16.8,17.6,0.8000000000000007,1,0.6693085605440869,0.6678255058216356,0.0014830547224513602,0.9999476600500213,0.9999476600500213,0.0102311856833414,True,-0.0014541312519511795,0.6678544292921358,0.035806715692210195,0.041118526502450514,0.8708170923896372,0.8708170923896372,False,0.0338468436450691,0.027077474916055302,True
16.8,17.6,0.8000000000000007,2,0.7095906524211777,0.7089729557945863,0.0006176966265913908,0.9996230042500591,0.9996230042500591,0.027456317562380622,True,-0.000497191640401895,0.7090934607807758,0.06319737849839835,0.04126795495914026,1.531391089308171,1.0,False,0.0726055812735372,0.05808446501882981,True
16.8,17.6,0.8000000000000007,3,0.7505413714734626,0.752169926518947,0.0016285550454844255,0.9998692342228658,0.9998692342228658,0.016171408552751457,True,0.0016874187808586707,0.7522287902543212,0.05695712502763289,0.04325583445973491,1.3167501156555415,1.0,False,0.0768149746641178,0.06145197973129429,True
17.6,18.4,0.7999999999999972,1,0.6678255058216356,0.666394018964193,0.0014314868574425432,0.9999655241409329,0.9999655241409329,0.008303645557787306,True,-0.0014075973361652263,0.6664179084854703,0.033344595790027055,0.04161046781481181,0.8013511392957132,0.8013511392957132,False,0.0333922234793979,0.026713778783518227,True
17.6,18.4,0.7999999999999972,2,0.7089729557945863,0.7080283763002821,0.0009445794943041541,0.9996877224192913,0.9996877224192913,0.024989150528379196,True,-0.0008360953043438185,0.7081368604902425,0.06188122264154105,0.04174284152604946,1.4824391531401693,1.0,False,0.0724094615023304,0.05792756920186411,True
