D,N,lambda_N,lambda_ref,lambda_abs_diff_vs_ref,hf_lambda_prime_diag,hf_abs_diag,weighted_rms_dD_U,weighted_std_dD_U,included_basis_coupling_power,tail_residual_coupling,tail_gap_floor_reserved_last_mode,nearest_gap_within_computed,max_offdiag_abs_A_mn,included_projector_derivative_bound,tail_projector_derivative_bound,total_projector_derivative_bound,n_eigs,reserved_tail_mode_index,fd_slope_ref_placeholder
16.0,2,0.7235184066641402,0.7235184066641402,0.0,-0.0015078088525495841,0.0015078088525495841,0.302804829088534,0.3028010750175773,7.24986922230706e-05,0.30268509350001566,6.587416756903396,0.050690912221659445,0.003500072614797643,0.02651804762792304,0.045948981925701245,0.07246702955362429,40,40,nan
16.0,3,0.7828254618572632,0.782825461857259,4.218847493575595e-15,0.0017064921799419374,0.0017064921799419374,0.3070996509039968,0.3070949095471895,6.836207549969198e-05,0.30698832797006637,6.528109701710273,0.05930705519312296,0.0038425584565073153,0.020539111528722512,0.04702560802396439,0.0675647195526869,40,40,nan
16.8,1,0.6707191581296017,0.6707191581295668,3.4861002973229915e-14,-0.0020358612191029475,0.0020358612191029475,0.15747337712207607,0.15746021647174294,2.3790269838562747e-05,0.15739782156177712,6.271292074192421,0.0487311083839459,0.0022919884053085758,0.008748694858553578,0.025098148786515555,0.03384684364506913,40,40,nan
16.8,2,0.7194502665135476,0.7194502665135483,6.661338147750939e-16,-0.001645600663937965,0.001645600663937965,0.2928936903613351,0.29288906748449406,6.780114040114546e-05,0.2927779238827281,6.2225609658084755,0.0487311083839459,0.0034962146677436916,0.025554547865994124,0.04705103340754308,0.07260558127353721,40,40,nan
16.8,3,0.7764650120267089,0.7764650120267225,1.354472090042691e-14,0.0014318980647277716,0.0014318980647277716,0.31022356791411126,0.310220263292541,6.895520592386186e-05,0.31011241007647106,6.1655462202953135,0.057014745513161325,0.0038234830550950313,0.021985768372990315,0.050297637710615926,0.07228340608360624,40,40,nan
17.6,1,0.6687655269338149,0.6687655269340034,1.8851586958135158e-13,-0.001916059354302409,0.001916059354302409,0.14864706884966772,0.14863471934292016,2.124829417823645e-05,0.14857557936424012,5.934685664838977,0.046842055331804744,0.002148899623431818,0.008357101527699503,0.025035121951698408,0.03339222347939791,40,40,nan
17.6,2,0.7156075822656196,0.7156075822656218,2.220446049250313e-15,-0.0017522308826301105,0.0017522308826301105,0.2828304155477491,0.28282498766171,6.355989678895202e-05,0.282718029248443,5.887843609507172,0.046842055331804744,0.003503574531266545,0.024392216480411937,0.04801724502191852,0.07240946150233046,40,40,nan
17.6,3,0.7705346354770417,0.770534635477075,3.3306690738754696e-14,0.0011547791708039878,0.0011547791708039878,0.31172749705329145,0.31172535813465113,6.969179785939362e-05,0.31161569379806664,5.83291655629575,0.054927053211422106,0.0038380348570024934,0.02339132445576284,0.053423650208354975,0.07681497466411781,40,40,nan
18.4,1,0.6669643237777252,0.6669643237777407,1.554312234475219e-14,-0.0018035518390205122,0.0018035518390205122,0.14034215786313275,0.14033056856738108,1.897116294159513e-05,0.14027455261286303,5.761770538569497,0.04508830897888516,0.001996866992275347,0.008171345780793302,0.024345737421138207,0.03251708320193151,40,40,nan
18.4,2,0.7120526327566103,0.7120526327566055,4.884981308350689e-15,-0.0018396756549517335,0.0018396756549517335,0.2726498471340454,0.27264364055613494,5.965413981753222e-05,0.27254042819809465,5.716682229590611,0.04508830897888516,0.0033983950477800124,0.022964807223064574,0.04767458068377051,0.07063938790683508,40,40,nan
18.4,3,0.7652088668167862,0.7652088668167716,1.4654943925052066e-14,0.000867551343096986,0.000867551343096986,0.31220442178405905,0.31220321640909743,6.906517160545977e-05,0.3120937932896346,5.663525995530435,0.05315623406017589,0.003806976749800741,0.024662477861019657,0.055105916973972414,0.07976839483499207,40,40,nan
19.200000000000003,1,0.6652792876061804,0.6652792876061728,7.549516567451064e-15,-0.0016965690562035793,0.0016965690562035793,0.13273035825440016,0.1327195149771839,1.681161284215707e-05,0.13266701319280258,5.605070433944091,0.043331425290503045,0.0018430165783744944,0.008185687986695368,0.023669107240718378,0.031854795227413746,40,40,nan
19.200000000000003,2,0.7086107128966834,0.708610712896701,1.7541523789077473e-14,-0.0018929898391914662,0.0018929898391914662,0.26261024320249027,0.26260342043533974,5.576440421188623e-05,0.2625040484081326,5.561739008653588,0.043331425290503045,0.003205574375963921,0.021566068261496988,0.04719819610371843,0.06876426436521542,40,40,nan
19.200000000000003,3,0.7599747381471427,0.7599747381471262,1.6431300764452317e-14,0.0006023666016841424,0.0006023666016841424,0.3110320072576905,0.3110314239642438,6.770426576498478e-05,0.310923150107841,5.510374983403128,0.051364025250459244,0.0037233984825028477,0.025741215614659682,0.056425043857145876,0.08216625947180556,40,40,nan
20.0,1,0.6637121040063336,0.663712104006247,8.659739592076221e-14,-0.001596146940574532,0.001596146940574532,0.12564731245794256,0.1256371738095375,1.494868502373373e-05,0.1255878116812301,5.460065792175254,0.041644263548185734,0.001690239143455913,0.008325464630808771,0.0230011535504221,0.03132661818123087,40,40,nan
20.0,2,0.7053563675545194,0.7053563675545156,3.774758283725532e-15,-0.0019250942341956406,0.0019250942341956406,0.2526927379011875,0.25268540480246915,5.17650821540828e-05,0.2525902902049961,5.418421528627068,0.041644263548185734,0.003136347274333721,0.02012909606505052,0.046616950872221646,0.06674604693727217,40,40,nan
20.0,3,0.7550432573166097,0.7550432573165684,4.1300296516055823e-14,0.00034976976306774505,0.00034976976306774505,0.30877777655059185,0.30877757844869513,6.609423913712657e-05,0.3086707324194992,5.368734638864978,0.04968688976209035,0.003603109661075838,0.026600914928870505,0.057494130960578885,0.08409504588944938,40,40,nan
