D,mode,E_ritz,omega_ritz,S_adapter,r_eta1,n_turning,status,z_left,z_right,component_width,U_center_minus_E,source_spectral_suspicious
14.75,0,0.8288504481315613,1.352349972503997,3.7577521782499965,0.0005445752872796498,8,NEAREST_FORBIDDEN_ISLAND,3.557769256418805,7.2141547182394135,3.6563854618206086,-0.2132000223707642,False
14.75,1,0.8304996490478516,1.3529595888450814,3.7519841957806657,0.0005508938640682527,8,NEAREST_FORBIDDEN_ISLAND,3.557769256418805,7.2141547182394135,3.6563854618206086,-0.21484922328705447,False
14.75,2,1.0828322172164917,1.4432020708190838,3.052574834365646,0.0022313473821418987,8,NEAREST_FORBIDDEN_ISLAND,-7.2141547182394135,-4.6046182060686895,2.609536512170724,-0.4671817914556946,False
15.0,0,0.8330040574073792,1.353884802118474,3.724379069479279,0.0005821641304205743,8,NEAREST_FORBIDDEN_ISLAND,-7.339446482160719,-3.7349116372124023,3.6045348449483168,-0.22881004339562416,False
15.0,1,0.8342692255973816,1.3543519578002543,3.7195872321426737,0.0005877702226264695,8,NEAREST_FORBIDDEN_ISLAND,-7.339446482160719,-3.75025008336112,3.589196398799599,-0.2300752115856266,False
15.0,2,1.0671619176864624,1.437762816909125,3.075576582901116,0.002131022929818521,8,NEAREST_FORBIDDEN_ISLAND,-7.339446482160719,-4.7012337445815255,2.6382127375791935,-0.4629679036747074,False
15.25,0,0.8372277021408081,1.3554437288728765,3.692393930389968,0.0006206223079734674,8,NEAREST_FORBIDDEN_ISLAND,3.9150550183394444,7.4657385795265085,3.550683561187064,-0.2440761304426463,False
15.25,1,0.8380609154701233,1.3557510521737106,3.6895720226741595,0.0006241348885870039,8,NEAREST_FORBIDDEN_ISLAND,3.9305601867289077,7.4657385795265085,3.535178392797601,-0.2449093437719615,False
15.25,2,1.051840901374817,1.432424832713681,3.099465590421816,0.0020316008902342164,8,NEAREST_FORBIDDEN_ISLAND,-7.4657385795265085,-4.7988496165388455,2.666888962987663,-0.4586893296766551,False
15.5,0,0.8415287733078003,1.35702939294173,3.662550009572971,0.0006587937681206566,8,NEAREST_FORBIDDEN_ISLAND,4.098199399799931,7.593031010336777,3.4948316105368455,-0.259027519470313,False
15.5,1,0.8419869542121887,1.3571982000475056,3.6610951300415597,0.0006607134908688329,8,NEAREST_FORBIDDEN_ISLAND,4.098199399799931,7.593031010336777,3.4948316105368455,-0.2594857003747014,False
15.5,2,1.0375715494155884,1.427435304809149,3.1223957264744384,0.0019405352285573618,8,NEAREST_FORBIDDEN_ISLAND,4.897465821940646,7.593031010336777,2.695565188396131,-0.4550702955781011,False
15.75,0,0.8458060026168823,1.3586044319877961,3.635272104483371,0.0006957332664337922,8,NEAREST_FORBIDDEN_ISLAND,4.268506168722908,7.721323774591529,3.4528176058686206,-0.27358328764534934,False
15.75,1,0.8462543487548828,1.3587694244259703,3.6338603431522474,0.0006977004609807207,8,NEAREST_FORBIDDEN_ISLAND,4.268506168722908,7.721323774591529,3.4528176058686206,-0.2740316337833498,False
15.75,2,1.0244333744049072,1.422825841206473,3.142849383223194,0.001862754884293466,8,NEAREST_FORBIDDEN_ISLAND,4.99708236078693,7.721323774591529,2.7242414138045987,-0.45221065943337424,False
16.0,0,0.8500856757164001,1.3601785455286377,3.595424067005153,0.0007534498230069342,8,NEAREST_FORBIDDEN_ISLAND,-7.8346115371790574,-4.441480493497831,3.393131043681226,-0.28778869228476966,False
16.0,1,0.8508971333503723,1.3604768036796409,3.5929474224540425,0.0007571911360574393,8,NEAREST_FORBIDDEN_ISLAND,-7.8346115371790574,-4.441480493497831,3.393131043681226,-0.28860014991874183,False
16.0,2,1.0122466087341309,1.4185367844134782,3.1513503987264233,0.0018313519810244745,8,NEAREST_FORBIDDEN_ISLAND,-7.8346115371790574,-5.097699233077691,2.7369123041013665,-0.4499496253025004,False
16.25,0,0.854543149471283,1.3618161217547995,3.5730332374507,0.0007879574437947083,8,NEAREST_FORBIDDEN_ISLAND,-7.964738246082025,-4.617122374124705,3.34761587195732,-0.30183680148800074,False
16.25,1,0.8557570576667786,1.3622617434497595,3.569478730962876,0.000793579001675661,8,NEAREST_FORBIDDEN_ISLAND,-7.964738246082025,-4.617122374124705,3.34761587195732,-0.30305070968349634,False
16.25,2,1.0007753372192383,1.4144876589137279,3.173920561624237,0.001750522221550093,8,NEAREST_FORBIDDEN_ISLAND,-7.964738246082025,-5.199316438812936,2.765421807269089,-0.44806898923595606,False
16.5,0,0.8592213988304138,1.3635326907817114,3.5490121035627995,0.000826736771259884,8,NEAREST_FORBIDDEN_ISLAND,4.7790930310103334,8.095865288429472,3.3167722574191387,-0.3157871433730971,False
